Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,curvature,3.7142857142857144,0.024016752748135438,3.714370496056278,3.714370496056278,35.0,28.0,215,0.252,0.252
Class1,P2,curvature,18.512160228898423,0.06492923503580228,18.51234579475738,12.060207551023801,129.0,198.0,121,1.308,0.932
Class1,P3,curvature,16.82033333333333,0.09168362506166261,16.82065781316057,4.368043739696194,120.0,336.0,130,1.824,1.0
Class2,P1,curvature,8.565625,0.03402750873139916,8.565733597579179,7.450111010998936,81.0,96.0,169,0.708,0.64
Class2,P2,curvature,6.369658119658119,0.01555875170578659,6.369686246305774,4.320533956676958,185.0,84.0,65,1.076,0.936
Class2,P3,curvature,16.926,0.12098950833601405,16.926505042706687,5.844115968247545,80.0,355.0,170,1.74,1.0
Class3,P1,curvature,2.0846774193548385,0.022578765750483808,2.084818588378663,2.052557164988852,202.0,47.0,48,0.996,0.992
Class3,P2,curvature,4.23469387755102,0.013495536463087736,4.234723843447626,2.8408392801204045,192.0,83.0,58,1.1,0.98
Class3,P3,curvature,17.475206611570247,0.10591342744510332,17.475646886141107,10.15740596988235,36.0,374.0,214,1.64,0.968
Class4,P1,curvature,,,,,0.0,0.0,50,0.0,0.0
Class4,P2,curvature,1.903225806451613,0.005036041946919591,1.9032350954117212,1.9032350954117212,25.0,6.0,25,0.62,0.62
Class4,P3,curvature,,,,,0.0,0.0,50,0.0,0.0
