Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,hilbert,2.5086206896551726,0.010932746154129635,2.5086482042616174,2.5086482042616174,90.0,26.0,160,0.464,0.464
Class1,P2,hilbert,28.322674418604652,0.08288408626549888,28.32285918377927,26.889717663389675,28.0,163.0,222,0.764,0.688
Class1,P3,hilbert,5.195555555555556,0.016778229558275265,5.195593936195042,3.7555873654329903,146.0,103.0,104,0.996,0.9
Class2,P1,hilbert,3.258974358974359,0.014740298999833324,3.2590207049891706,2.6000413542069096,156.0,51.0,94,0.828,0.78
Class2,P2,hilbert,9.290575916230367,0.021193600774126832,9.290615767788283,8.586424951885189,108.0,94.0,142,0.808,0.764
Class2,P3,hilbert,12.153061224489797,0.07489511447640518,12.153349213710051,8.653299843775457,102.0,139.0,148,0.964,0.784
Class3,P1,hilbert,1.816326530612245,0.0047269644325389,1.8163348926978067,1.7959267157232335,42.0,8.0,208,0.2,0.196
Class3,P2,hilbert,3.69375,0.013094893466927585,3.6937836484014017,3.1708639292316705,178.0,76.0,72,1.016,0.96
Class3,P3,hilbert,20.99271844660194,0.11007080324445367,20.993110576464115,17.73824679261402,60.0,197.0,190,1.028,0.824
Class4,P1,hilbert,,,,,0.0,0.0,50,0.0,0.0
Class4,P2,hilbert,3.054054054054054,0.008850035157398486,3.05406960169117,3.05406960169117,26.0,11.0,24,0.74,0.74
Class4,P3,hilbert,,,,,0.0,0.0,50,0.0,0.0
