Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,3.0,0.011063754909343637,3.000020401042749,3.000020401042749,1.0,0.0,0.0,1,39,[42],0.56,concave_tuned
Class1,P1,Class1_it2_example_0002,2.0,0.005880065396355771,2.0000086437735876,2.0000086437735876,1.0,0.0,0.0,1,40,[42],0.56,concave_tuned
Class1,P1,Class1_it2_example_0003,,,,,,,1.0,0,40,[],0.56,concave_tuned
Class1,P1,Class1_it2_example_0004,2.0,0.004243940517941747,2.000004502752711,2.000004502752711,1.0,0.0,0.0,1,42,[44],0.56,concave_tuned
Class1,P1,Class1_it2_example_0005,2.0,0.00420154700516262,2.00000441324444,2.00000441324444,1.0,0.0,0.0,1,39,[41],0.56,concave_tuned
Class1,P1,Class1_it2_example_0006,,,,,,,1.0,0,41,[],0.56,concave_tuned
Class1,P1,Class1_it2_example_0007,,,,,,,1.0,0,42,[],0.56,concave_tuned
Class1,P1,Class1_it2_example_0008,3.0,0.007635993849127831,3.0000097180512704,3.0000097180512704,1.0,0.0,0.0,1,38,[41],0.56,concave_tuned
Class1,P1,Class1_it2_example_0009,3.0,0.011951698993496573,3.000023807090342,3.000023807090342,1.0,0.0,0.0,1,38,[41],0.56,concave_tuned
Class1,P1,Class1_it2_example_0010,,,,,,,1.0,0,41,[],0.56,concave_tuned
Class1,P1,Class1_it2_example_0011,,,,,,,1.0,0,35,[],0.56,concave_tuned
Class1,P1,Class1_it2_example_0012,,,,,,,1.0,0,36,[],0.56,concave_tuned
Class1,P1,Class1_it2_example_0013,2.0,0.009085267018252852,2.0000206354127434,2.0000206354127434,1.0,0.0,0.0,1,36,[38],0.56,concave_tuned
Class1,P1,Class1_it2_example_0014,2.0,0.008795659431739544,2.0000193408126927,2.0000193408126927,1.0,0.0,0.0,1,41,[43],0.56,concave_tuned
Class1,P1,Class1_it2_example_0015,,,,,,,1.0,0,23,[],0.56,concave_tuned
Class1,P1,Class1_it2_example_0016,,,,,,,1.0,0,29,[],0.56,concave_tuned
Class1,P1,Class1_it2_example_0017,5.0,0.036673531302340745,5.000134492980982,5.000134492980982,0.0,1.0,1.0,1,27,[32],0.56,concave_tuned
Class1,P1,Class1_it2_example_0018,,,,,,,1.0,0,28,[],0.56,concave_tuned
Class1,P1,Class1_it2_example_0019,4.0,0.03137440842505468,4.000123042295577,4.000123042295577,0.0,1.0,1.0,1,28,[32],0.56,concave_tuned
Class1,P1,Class1_it2_example_0020,2.0,0.0045601426974529735,2.0000051987185987,2.0000051987185987,1.0,0.0,0.0,1,37,[39],0.56,concave_tuned
Class1,P1,Class1_it2_example_0021,3.0,0.009677114487097849,3.000015607716866,3.000015607716866,1.0,0.0,0.0,1,37,[40],0.56,concave_tuned
Class1,P1,Class1_it2_example_0022,1.0,0.002114255927009978,1.0000022350365647,1.0000022350365647,1.0,0.0,0.0,1,41,[42],0.56,concave_tuned
Class1,P1,Class1_it2_example_0023,,,,,,,1.0,0,45,[],0.56,concave_tuned
Class1,P1,Class1_it2_example_0024,1.0,0.0019850968580802375,1.000001970302827,1.000001970302827,1.0,0.0,0.0,1,46,[47],0.56,concave_tuned
Class1,P1,Class1_it2_example_0025,2.0,0.007052066331446838,2.000012432871242,2.000012432871242,1.0,0.0,0.0,1,43,[45],0.56,concave_tuned
Class1,P1,Class1_it2_example_0026,2.0,0.004698118485937597,2.0000055180717147,2.0000055180717147,1.0,0.0,0.0,1,41,[43],0.56,concave_tuned
Class1,P1,Class1_it2_example_0027,2.0,0.0024561967601587353,2.000001508225062,2.000001508225062,1.0,0.0,0.0,1,44,[46],0.56,concave_tuned
Class1,P1,Class1_it2_example_0028,2.0,0.004642621528765822,2.000005388476406,2.000005388476406,1.0,0.0,0.0,1,45,[47],0.56,concave_tuned
Class1,P1,Class1_it2_example_0029,5.0,0.027282682614744203,5.000074433923024,5.000074433923024,0.0,1.0,1.0,1,58,[63],0.56,concave_tuned
Class1,P1,Class1_it2_example_0030,,,,,,,1.0,0,28,[],0.56,concave_tuned
Class1,P1,Class1_it2_example_0031,,,,,,,1.0,0,27,[],0.56,concave_tuned
Class1,P1,Class1_it2_example_0032,3.0,0.03048603608632805,3.000154895733928,3.000154895733928,1.0,0.0,0.0,1,34,[37],0.56,concave_tuned
Class1,P1,Class1_it2_example_0033,2.0,0.015696909292546857,2.000061597291778,2.000061597291778,1.0,0.0,0.0,1,34,[36],0.56,concave_tuned
Class1,P1,Class1_it2_example_0034,4.0,0.019222499252786407,4.000046187793026,4.000046187793026,0.0,1.0,1.0,1,31,[35],0.56,concave_tuned
Class1,P1,Class1_it2_example_0035,2.0,0.005628758577123194,2.0000079207150954,2.0000079207150954,1.0,0.0,0.0,1,39,[41],0.56,concave_tuned
Class1,P1,Class1_it2_example_0036,2.0,0.008536834936723525,2.0000182193046987,2.0000182193046987,1.0,0.0,0.0,1,40,[42],0.56,concave_tuned
Class1,P1,Class1_it2_example_0037,2.0,0.003304166147544807,2.0000027293766203,2.0000027293766203,1.0,0.0,0.0,1,39,[41],0.56,concave_tuned
