Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,2.0,0.007565505850557597,2.0000143091685056,2.0000143091685056,1.0,0.0,0,1,39,[37],0.248,hilbert
Class1,P1,Class1_it2_example_0002,3.0,0.012013260657085634,3.000024052975512,3.000024052975512,1.0,0.0,0,1,40,[37],0.248,hilbert
Class1,P1,Class1_it2_example_0003,3.0,0.010057745034933951,3.0000168596584897,3.0000168596584897,1.0,0.0,0,1,40,[37],0.248,hilbert
Class1,P1,Class1_it2_example_0004,4.0,0.014923667094227988,4.000027839383064,4.000027839383064,0.0,1.0,1,1,42,[38],0.248,hilbert
Class1,P1,Class1_it2_example_0005,4.0,0.019472114476188795,4.000047395124485,4.000047395124485,0.0,1.0,1,1,39,[35],0.248,hilbert
Class1,P1,Class1_it2_example_0006,4.0,0.017569519071425455,4.000038585813942,4.000038585813942,0.0,1.0,1,1,41,[37],0.248,hilbert
Class1,P1,Class1_it2_example_0007,4.0,0.01719305241918856,4.000036949960774,4.000036949960774,0.0,1.0,1,1,42,[38],0.248,hilbert
Class1,P1,Class1_it2_example_0008,,,,,,,1,0,38,[],0.248,hilbert
Class1,P1,Class1_it2_example_0009,3.0,0.009765146240635514,3.000015892971419,3.000015892971419,1.0,0.0,0,1,38,[35],0.248,hilbert
Class1,P1,Class1_it2_example_0010,3.0,0.012750612784825255,3.0000270962320306,3.0000270962320306,1.0,0.0,0,1,41,[38],0.248,hilbert
Class1,P1,Class1_it2_example_0011,2.0,0.006222974776433188,2.000009681330335,2.000009681330335,1.0,0.0,0,1,35,[33],0.248,hilbert
Class1,P1,Class1_it2_example_0012,3.0,0.007581454258146381,3.0000095797261497,3.0000095797261497,1.0,0.0,0,1,36,[33],0.248,hilbert
Class1,P1,Class1_it2_example_0013,,,,,,,1,0,36,[],0.248,hilbert
Class1,P1,Class1_it2_example_0014,3.0,0.010000997080074736,3.000016669944118,3.000016669944118,1.0,0.0,0,1,41,[38],0.248,hilbert
Class1,P1,Class1_it2_example_0015,,,,,,,1,0,23,[],0.248,hilbert
Class1,P1,Class1_it2_example_0016,,,,,,,1,0,29,[],0.248,hilbert
Class1,P1,Class1_it2_example_0017,,,,,,,1,0,27,[],0.248,hilbert
Class1,P1,Class1_it2_example_0018,,,,,,,1,0,28,[],0.248,hilbert
Class1,P1,Class1_it2_example_0019,,,,,,,1,0,28,[],0.248,hilbert
Class1,P1,Class1_it2_example_0020,,,,,,,1,0,37,[],0.248,hilbert
Class1,P1,Class1_it2_example_0021,0.0,0.0,0.0,0.0,1.0,0.0,0,1,37,[37],0.248,hilbert
Class1,P1,Class1_it2_example_0022,,,,,,,1,0,41,[],0.248,hilbert
Class1,P1,Class1_it2_example_0023,6.0,0.029027392763195214,6.000070215383369,6.000070215383369,0.0,1.0,1,1,45,[39],0.248,hilbert
Class1,P1,Class1_it2_example_0024,3.0,0.012171583130310193,3.0000246911377078,3.0000246911377078,1.0,0.0,0,1,46,[43],0.248,hilbert
Class1,P1,Class1_it2_example_0025,2.0,0.006618852036064049,2.0000109522705807,2.0000109522705807,1.0,0.0,0,1,43,[41],0.248,hilbert
Class1,P1,Class1_it2_example_0026,1.0,0.0024597507426151743,1.000003025182282,1.000003025182282,1.0,0.0,0,1,41,[40],0.248,hilbert
Class1,P1,Class1_it2_example_0027,2.0,0.006638550478262117,2.0000110175577666,2.0000110175577666,1.0,0.0,0,1,44,[42],0.248,hilbert
Class1,P1,Class1_it2_example_0028,,,,,,,1,0,45,[],0.248,hilbert
Class1,P1,Class1_it2_example_0029,,,,,,,1,0,58,[],0.248,hilbert
Class1,P1,Class1_it2_example_0030,,,,,,,1,0,28,[],0.248,hilbert
Class1,P1,Class1_it2_example_0031,,,,,,,1,0,27,[],0.248,hilbert
Class1,P1,Class1_it2_example_0032,,,,,,,1,0,34,[],0.248,hilbert
Class1,P1,Class1_it2_example_0033,3.0,0.013342010212584077,3.0000296680593865,3.0000296680593865,1.0,0.0,0,1,34,[31],0.248,hilbert
Class1,P1,Class1_it2_example_0034,,,,,,,1,0,31,[],0.248,hilbert
Class1,P1,Class1_it2_example_0035,,,,,,,1,0,39,[],0.248,hilbert
Class1,P1,Class1_it2_example_0036,,,,,,,1,0,40,[],0.248,hilbert
Class1,P1,Class1_it2_example_0037,2.0,0.007686698472536224,2.000014771278804,2.000014771278804,1.0,0.0,0,1,39,[37],0.248,hilbert
Class1,P1,Class1_it2_example_0038,,,,,,,1,0,38,[],0.248,hilbert
Class1,P1,Class1_it2_example_0039,,,,,,,1,0,29,[],0.248,hilbert
Class1,P1,Class1_it2_example_0040,,,,,,,1,0,29,[],0.248,hilbert
Class1,P1,Class1_it2_example_0041,,,,,,,1,0,33,[],0.248,hilbert
Class1,P1,Class1_it2_example_0042,,,,,,,1,0,43,[],0.248,hilbert
Class1,P1,Class1_it2_example_0043,,,,,,,1,0,35,[],0.248,hilbert
Class1,P1,Class1_it2_example_0044,,,,,,,1,0,28,[],0.248,hilbert
Class1,P1,Class1_it2_example_0045,,,,,,,1,0,30,[],0.248,hilbert
Class1,P1,Class1_it2_example_0046,,,,,,,1,0,29,[],0.248,hilbert
Class1,P1,Class1_it2_example_0047,,,,,,,1,0,29,[],0.248,hilbert
Class1,P1,Class1_it2_example_0048,,,,,,,1,0,30,[],0.248,hilbert
