Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,hilbert,3.2580645161290325,0.014560416947666507,3.2581005901857605,3.2581005901857605,38.0,24.0,212,0.248,0.248
Class1,P2,hilbert,16.50657894736842,0.045902575444669184,16.506704873189516,15.539597341917988,26.0,56.0,224,0.328,0.304
Class1,P3,hilbert,5.316742081447964,0.017104968563369197,5.316781050658108,3.9412089957213103,143.0,101.0,107,0.976,0.884
Class2,P1,hilbert,2.3011363636363638,0.011335431365020777,2.3011745423078818,2.3011745423078818,141.0,35.0,109,0.704,0.704
Class2,P2,hilbert,7.083333333333333,0.01657491233157685,7.0833655188055715,6.826420665606057,88.0,59.0,162,0.588,0.576
Class2,P3,hilbert,12.591836734693878,0.07786644369997488,12.592136276051294,9.530873968457943,100.0,136.0,150,0.944,0.784
Class3,P1,hilbert,1.6,0.0038905035926105366,1.6000069943983088,1.5777847572482178,41.0,5.0,209,0.184,0.18
Class3,P2,hilbert,3.3230337078651684,0.010391419979325517,3.3230557579571185,3.297774830495133,133.0,46.0,117,0.716,0.712
Class3,P3,hilbert,20.99271844660194,0.11007080324445367,20.993110576464115,17.73824679261402,60.0,197.0,190,1.028,0.824
Class4,P1,hilbert,,,,,0.0,0.0,50,0.0,0.0
Class4,P2,hilbert,2.0,0.00323730778394421,2.0000026636923707,2.0000026636923707,4.0,0.0,46,0.08,0.08
Class4,P3,hilbert,,,,,0.0,0.0,50,0.0,0.0
