Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,5.0,0.05246055690810203,5.000275203429418,5.000275203429418,0.0,1.0,1,1,39,[34],0.432,curvature
Class1,P1,Class1_it2_example_0002,6.0,0.05784058883352461,6.0002787879994886,6.0002787879994886,0.0,1.0,1,1,40,[34],0.432,curvature
Class1,P1,Class1_it2_example_0003,,,,,,,1,0,40,[],0.432,curvature
Class1,P1,Class1_it2_example_0004,,,,,,,1,0,42,[],0.432,curvature
Class1,P1,Class1_it2_example_0005,,,,,,,1,0,39,[],0.432,curvature
Class1,P1,Class1_it2_example_0006,,,,,,,1,0,41,[],0.432,curvature
Class1,P1,Class1_it2_example_0007,,,,,,,1,0,42,[],0.432,curvature
Class1,P1,Class1_it2_example_0008,5.0,0.05272824740788784,5.00027801907801,5.00027801907801,0.0,1.0,1,1,38,[33],0.432,curvature
Class1,P1,Class1_it2_example_0009,6.0,0.056292360447772305,6.000264063342945,6.000264063342945,0.0,1.0,1,1,38,[32],0.432,curvature
Class1,P1,Class1_it2_example_0010,,,,,,,1,0,41,[],0.432,curvature
Class1,P1,Class1_it2_example_0011,5.0,0.04733777844954967,5.000224081505602,5.000224081505602,0.0,1.0,1,1,35,[30],0.432,curvature
Class1,P1,Class1_it2_example_0012,,,,,,,1,0,36,[],0.432,curvature
Class1,P1,Class1_it2_example_0013,6.0,0.05347382927271327,6.000238282803199,6.000238282803199,0.0,1.0,1,1,36,[30],0.432,curvature
Class1,P1,Class1_it2_example_0014,,,,,,,1,0,41,[],0.432,curvature
Class1,P1,Class1_it2_example_0015,,,,,,,1,0,23,[],0.432,curvature
Class1,P1,Class1_it2_example_0016,,,,,,,1,0,29,[],0.432,curvature
Class1,P1,Class1_it2_example_0017,1.0,0.004319550297632757,1.0000093292138696,1.0000093292138696,1.0,0.0,0,1,27,[26],0.432,curvature
Class1,P1,Class1_it2_example_0018,1.0,0.004879657926621261,1.0000119054598704,1.0000119054598704,1.0,0.0,0,1,28,[27],0.432,curvature
Class1,P1,Class1_it2_example_0019,3.0,0.043056116675005085,3.0003089556215925,3.0003089556215925,1.0,0.0,0,1,28,[25],0.432,curvature
Class1,P1,Class1_it2_example_0020,,,,,,,1,0,37,[],0.432,curvature
Class1,P1,Class1_it2_example_0021,3.0,0.03576387763941502,3.000213168250517,3.000213168250517,1.0,0.0,0,1,37,[34],0.432,curvature
Class1,P1,Class1_it2_example_0022,3.0,0.021841794340563214,3.0000795096097064,3.0000795096097064,1.0,0.0,0,1,41,[38],0.432,curvature
Class1,P1,Class1_it2_example_0023,,,,,,,1,0,45,[],0.432,curvature
Class1,P1,Class1_it2_example_0024,5.0,0.04138061308767682,5.0001712325818914,5.0001712325818914,0.0,1.0,1,1,46,[41],0.432,curvature
Class1,P1,Class1_it2_example_0025,5.0,0.046843643509627664,5.000219427878866,5.000219427878866,0.0,1.0,1,1,43,[38],0.432,curvature
Class1,P1,Class1_it2_example_0026,4.0,0.039087360387146775,4.000190973158911,4.000190973158911,0.0,1.0,1,1,41,[37],0.432,curvature
Class1,P1,Class1_it2_example_0027,5.0,0.04788442807591131,5.000229286587982,5.000229286587982,0.0,1.0,1,1,44,[39],0.432,curvature
Class1,P1,Class1_it2_example_0028,5.0,0.05130603952857282,5.000263224040521,5.000263224040521,0.0,1.0,1,1,45,[40],0.432,curvature
Class1,P1,Class1_it2_example_0029,4.0,0.048796928052619815,4.000297631450361,4.000297631450361,0.0,1.0,1,1,58,[54],0.432,curvature
Class1,P1,Class1_it2_example_0030,,,,,,,1,0,28,[],0.432,curvature
Class1,P1,Class1_it2_example_0031,,,,,,,1,0,27,[],0.432,curvature
Class1,P1,Class1_it2_example_0032,,,,,,,1,0,34,[],0.432,curvature
Class1,P1,Class1_it2_example_0033,,,,,,,1,0,34,[],0.432,curvature
Class1,P1,Class1_it2_example_0034,4.0,0.04390984934276443,4.000241002098412,4.000241002098412,0.0,1.0,1,1,31,[27],0.432,curvature
Class1,P1,Class1_it2_example_0035,4.0,0.03909369059722878,4.000191035018767,4.000191035018767,0.0,1.0,1,1,39,[35],0.432,curvature
Class1,P1,Class1_it2_example_0036,4.0,0.05214969512331613,4.000339934393258,4.000339934393258,0.0,1.0,1,1,40,[36],0.432,curvature
Class1,P1,Class1_it2_example_0037,3.0,0.02110334954742099,3.000074224308812,3.000074224308812,1.0,0.0,0,1,39,[36],0.432,curvature
Class1,P1,Class1_it2_example_0038,,,,,,,1,0,38,[],0.432,curvature
Class1,P1,Class1_it2_example_0039,,,,,,,1,0,29,[],0.432,curvature
Class1,P1,Class1_it2_example_0040,1.0,0.006337912981647986,1.0000200843687905,1.0000200843687905,1.0,0.0,0,1,29,[28],0.432,curvature
Class1,P1,Class1_it2_example_0041,,,,,,,1,0,33,[],0.432,curvature
Class1,P1,Class1_it2_example_0042,3.0,0.05411982019536521,3.000488119446231,3.000488119446231,1.0,0.0,0,1,43,[40],0.432,curvature
Class1,P1,Class1_it2_example_0043,,,,,,,1,0,35,[],0.432,curvature
Class1,P1,Class1_it2_example_0044,2.0,0.01697241506318037,2.00007201442175,2.00007201442175,1.0,0.0,0,1,28,[26],0.432,curvature
Class1,P1,Class1_it2_example_0045,2.0,0.018627777260831757,2.000086746640175,2.000086746640175,1.0,0.0,0,1,30,[28],0.432,curvature
Class1,P1,Class1_it2_example_0046,,,,,,,1,0,29,[],0.432,curvature
Class1,P1,Class1_it2_example_0047,3.0,0.027129745300439767,3.000122668005438,3.000122668005438,1.0,0.0,0,1,29,[26],0.432,curvature
Class1,P1,Class1_it2_example_0048,2.0,0.017840705473468166,2.0000795711100574,2.0000795711100574,1.0,0.0,0,1,30,[28],0.432,curvature
Class1,P1,Class1_it2_example_0049,,,,,,,1,0,30,[],0.432,curvature
Class1,P1,Class1_it2_example_0050,,,,,,,1,0,61,[],0.432,curvature
Class1,P1,Class1_it2_example_0051,,,,,,,1,0,30,[],0.432,curvature
Class1,P1,Class1_it2_example_0052,4.0,0.033934494830650364,4.000143941152545,4.000143941152545,0.0,1.0,1,1,37,[33],0.432,curvature
Class1,P1,Class1_it2_example_0053,6.0,0.056388774018453214,6.000264968635578,6.000264968635578,0.0,1.0,1,1,36,[30],0.432,curvature
Class1,P1,Class1_it2_example_0054,4.0,0.046393349992777555,4.000269033818045,4.000269033818045,0.0,1.0,1,1,35,[31],0.432,curvature
Class1,P1,Class1_it2_example_0055,3.0,0.027353858644787676,3.0001247030053197,3.0001247030053197,1.0,0.0,0,1,67,[64],0.432,curvature
Class1,P1,Class1_it2_example_0056,,,,,,,1,0,30,[],0.432,curvature
Class1,P1,Class1_it2_example_0057,4.0,0.037346902302856866,4.000174345089426,4.000174345089426,0.0,1.0,1,1,33,[29],0.432,curvature
Class1,P1,Class1_it2_example_0058,,,,,,,1,0,45,[],0.432,curvature
Class1,P1,Class1_it2_example_0059,,,,,,,1,0,33,[],0.432,curvature
Class1,P1,Class1_it2_example_0060,,,,,,,1,0,28,[],0.432,curvature
Class1,P1,Class1_it2_example_0061,4.0,0.03985116501165442,4.000198509493345,4.000198509493345,0.0,1.0,1,1,41,[37],0.432,curvature
Class1,P1,Class1_it2_example_0062,3.0,0.02760170750665636,3.0001269730225224,3.0001269730225224,1.0,0.0,0,1,31,[28],0.432,curvature
Class1,P1,Class1_it2_example_0063,4.0,0.044951891725042326,4.000252576096872,4.000252576096872,0.0,1.0,1,1,46,[42],0.432,curvature
Class1,P1,Class1_it2_example_0064,4.0,0.02710865248365124,4.000091858825179,4.000091858825179,0.0,1.0,1,1,40,[36],0.432,curvature
Class1,P1,Class1_it2_example_0065,3.0,0.028493194903906227,3.0001353073079606,3.0001353073079606,1.0,0.0,0,1,42,[39],0.432,curvature
Class1,P1,Class1_it2_example_0066,,,,,,,1,0,42,[],0.432,curvature
Class1,P1,Class1_it2_example_0067,5.0,0.02391006842664456,5.00005716881039,5.00005716881039,0.0,1.0,1,1,43,[38],0.432,curvature
Class1,P1,Class1_it2_example_0068,,,,,,,1,0,22,[],0.432,curvature
Class1,P1,Class1_it2_example_0069,,,,,,,1,0,24,[],0.432,curvature
Class1,P1,Class1_it2_example_0070,,,,,,,1,0,33,[],0.432,curvature
Class1,P1,Class1_it2_example_0071,,,,,,,1,0,24,[],0.432,curvature
Class1,P1,Class1_it2_example_0072,,,,,,,1,0,25,[],0.432,curvature
Class1,P1,Class1_it2_example_0073,,,,,,,1,0,25,[],0.432,curvature
Class1,P1,Class1_it2_example_0074,1.0,0.0053244304495904116,1.0000141746793454,1.0000141746793454,1.0,0.0,0,1,31,[30],0.432,curvature
Class1,P1,Class1_it2_example_0075,,,,,,,1,0,38,[],0.432,curvature
Class1,P1,Class1_it2_example_0076,,,,,,,1,0,27,[],0.432,curvature
Class1,P1,Class1_it2_example_0077,1.0,0.003849918141929143,1.000007410907389,1.000007410907389,1.0,0.0,0,1,32,[31],0.432,curvature
Class1,P1,Class1_it2_example_0078,,,,,,,1,0,31,[],0.432,curvature
Class1,P1,Class1_it2_example_0079,3.0,0.01667857470050682,3.0000463621174323,3.0000463621174323,1.0,0.0,0,1,36,[33],0.432,curvature
Class1,P1,Class1_it2_example_0080,2.0,0.02116327366437243,2.0001119679038455,2.0001119679038455,1.0,0.0,0,1,37,[35],0.432,curvature
Class1,P1,Class1_it2_example_0081,,,,,,,1,0,28,[],0.432,curvature
Class1,P1,Class1_it2_example_0082,3.0,0.014304399271797053,3.000034102445925,3.000034102445925,1.0,0.0,0,1,37,[34],0.432,curvature
Class1,P1,Class1_it2_example_0083,,,,,,,1,0,26,[],0.432,curvature
Class1,P1,Class1_it2_example_0084,1.0,0.004426892222932355,1.0000097986393701,1.0000097986393701,1.0,0.0,0,1,33,[32],0.432,curvature
Class1,P1,Class1_it2_example_0085,,,,,,,1,0,24,[],0.432,curvature
Class1,P1,Class1_it2_example_0086,,,,,,,1,0,32,[],0.432,curvature
Class1,P1,Class1_it2_example_0087,,,,,,,1,0,29,[],0.432,curvature
Class1,P1,Class1_it2_example_0088,,,,,,,1,0,31,[],0.432,curvature
Class1,P1,Class1_it2_example_0089,,,,,,,1,0,29,[],0.432,curvature
Class1,P1,Class1_it2_example_0090,,,,,,,1,0,33,[],0.432,curvature
Class1,P1,Class1_it2_example_0091,,,,,,,1,0,32,[],0.432,curvature
Class1,P1,Class1_it2_example_0092,,,,,,,1,0,31,[],0.432,curvature
Class1,P1,Class1_it2_example_0093,1.0,0.003263722314120421,1.000005325927489,1.000005325927489,1.0,0.0,0,1,31,[30],0.432,curvature
Class1,P1,Class1_it2_example_0094,,,,,,,1,0,35,[],0.432,curvature
Class1,P1,Class1_it2_example_0095,,,,,,,1,0,35,[],0.432,curvature
Class1,P1,Class1_it2_example_0096,,,,,,,1,0,35,[],0.432,curvature
Class1,P1,Class1_it2_example_0097,1.0,0.004397741046939796,1.0000096700164034,1.0000096700164034,1.0,0.0,0,1,33,[32],0.432,curvature
Class1,P1,Class1_it2_example_0098,4.0,0.02647058677410774,4.000087585536617,4.000087585536617,0.0,1.0,1,1,37,[33],0.432,curvature
Class1,P1,Class1_it2_example_0099,2.0,0.014835485818032734,2.000055022153005,2.000055022153005,1.0,0.0,0,1,35,[33],0.432,curvature
Class1,P1,Class1_it2_example_0100,1.0,0.0018903825973831667,1.000001786771586,1.000001786771586,1.0,0.0,0,1,28,[27],0.432,curvature
Class1,P1,Class1_it2_example_0101,2.0,0.021036032004107974,2.0001106256011134,2.0001106256011134,1.0,0.0,0,1,31,[29],0.432,curvature
Class1,P1,Class1_it2_example_0102,,,,,,,1,0,33,[],0.432,curvature
Class1,P1,Class1_it2_example_0103,,,,,,,1,0,33,[],0.432,curvature
Class1,P1,Class1_it2_example_0104,,,,,,,1,0,35,[],0.432,curvature
Class1,P1,Class1_it2_example_0105,3.0,0.020017669828274798,3.000066783774214,3.000066783774214,1.0,0.0,0,1,35,[32],0.432,curvature
Class1,P1,Class1_it2_example_0106,1.0,0.006356640977053574,1.0000202032381702,1.0000202032381702,1.0,0.0,0,1,34,[33],0.432,curvature
Class1,P1,Class1_it2_example_0107,,,,,,,1,0,33,[],0.432,curvature
Class1,P1,Class1_it2_example_0108,,,,,,,1,0,31,[],0.432,curvature
Class1,P1,Class1_it2_example_0109,,,,,,,1,0,33,[],0.432,curvature
Class1,P1,Class1_it2_example_0110,,,,,,,1,0,36,[],0.432,curvature
Class1,P1,Class1_it2_example_0111,,,,,,,1,0,30,[],0.432,curvature
Class1,P1,Class1_it2_example_0112,,,,,,,1,0,28,[],0.432,curvature
Class1,P1,Class1_it2_example_0113,2.0,0.02070025870588721,2.000107122308825,2.000107122308825,1.0,0.0,0,1,34,[32],0.432,curvature
Class1,P1,Class1_it2_example_0114,,,,,,,1,0,26,[],0.432,curvature
Class1,P1,Class1_it2_example_0115,,,,,,,1,0,35,[],0.432,curvature
Class1,P1,Class1_it2_example_0116,,,,,,,1,0,34,[],0.432,curvature
Class1,P1,Class1_it2_example_0117,,,,,,,1,0,43,[],0.432,curvature
Class1,P1,Class1_it2_example_0118,2.0,0.017974793042242587,2.0000807716652123,2.0000807716652123,1.0,0.0,0,1,59,[57],0.432,curvature
Class1,P1,Class1_it2_example_0119,3.0,0.030734045019010003,3.000157426123374,3.000157426123374,1.0,0.0,0,1,30,[27],0.432,curvature
Class1,P1,Class1_it2_example_0120,4.0,0.037140063897411646,4.000172419327235,4.000172419327235,0.0,1.0,1,1,32,[28],0.432,curvature
Class1,P1,Class1_it2_example_0121,,,,,,,1,0,30,[],0.432,curvature
Class1,P1,Class1_it2_example_0122,,,,,,,1,0,28,[],0.432,curvature
Class1,P1,Class1_it2_example_0123,,,,,,,1,0,28,[],0.432,curvature
Class1,P1,Class1_it2_example_0124,,,,,,,1,0,33,[],0.432,curvature
Class1,P1,Class1_it2_example_0125,,,,,,,1,0,29,[],0.432,curvature
Class1,P1,Class1_it2_example_0126,1.0,0.008074882354088375,1.0000326013310927,1.0000326013310927,1.0,0.0,0,1,26,[25],0.432,curvature
Class1,P1,Class1_it2_example_0127,,,,,,,1,0,29,[],0.432,curvature
Class1,P1,Class1_it2_example_0128,,,,,,,1,0,33,[],0.432,curvature
Class1,P1,Class1_it2_example_0129,1.0,0.005818449669232839,1.0000169270350145,1.0000169270350145,1.0,0.0,0,1,34,[33],0.432,curvature
Class1,P1,Class1_it2_example_0130,,,,,,,1,0,48,[],0.432,curvature
Class1,P1,Class1_it2_example_0131,3.0,0.01973195540253736,3.000064890975528,3.000064890975528,1.0,0.0,0,1,35,[32],0.432,curvature
Class1,P1,Class1_it2_example_0132,2.0,0.01734954229213137,2.000075250238787,2.000075250238787,1.0,0.0,0,1,46,[44],0.432,curvature
Class1,P1,Class1_it2_example_0133,,,,,,,1,0,54,[],0.432,curvature
Class1,P1,Class1_it2_example_0134,,,,,,,1,0,45,[],0.432,curvature
Class1,P1,Class1_it2_example_0135,,,,,,,1,0,25,[],0.432,curvature
Class1,P1,Class1_it2_example_0136,,,,,,,1,0,31,[],0.432,curvature
Class1,P1,Class1_it2_example_0137,,,,,,,1,0,36,[],0.432,curvature
Class1,P1,Class1_it2_example_0138,4.0,0.04275467003143407,4.0002284887003015,4.0002284887003015,0.0,1.0,1,1,36,[32],0.432,curvature
Class1,P1,Class1_it2_example_0139,,,,,,,1,0,42,[],0.432,curvature
Class1,P1,Class1_it2_example_0140,,,,,,,1,0,39,[],0.432,curvature
Class1,P1,Class1_it2_example_0141,,,,,,,1,0,34,[],0.432,curvature
Class1,P1,Class1_it2_example_0142,6.0,0.057583758766794,6.000276317743518,6.000276317743518,0.0,1.0,1,1,36,[30],0.432,curvature
Class1,P1,Class1_it2_example_0143,,,,,,,1,0,30,[],0.432,curvature
Class1,P1,Class1_it2_example_0144,4.0,0.037584150391570814,4.000176567148087,4.000176567148087,0.0,1.0,1,1,35,[31],0.432,curvature
Class1,P1,Class1_it2_example_0145,1.0,0.0036906345611960045,1.0000068103685416,1.0000068103685416,1.0,0.0,0,1,29,[28],0.432,curvature
Class1,P1,Class1_it2_example_0146,,,,,,,1,0,44,[],0.432,curvature
Class1,P1,Class1_it2_example_0147,,,,,,,1,0,32,[],0.432,curvature
Class1,P1,Class1_it2_example_0148,,,,,,,1,0,29,[],0.432,curvature
Class1,P1,Class1_it2_example_0149,,,,,,,1,0,35,[],0.432,curvature
Class1,P1,Class1_it2_example_0150,2.0,0.01814365180250599,2.0000822963320113,2.0000822963320113,1.0,0.0,0,1,25,[23],0.432,curvature
Class1,P1,Class1_it2_example_0151,,,,,,,1,0,24,[],0.432,curvature
Class1,P1,Class1_it2_example_0152,,,,,,,1,0,23,[],0.432,curvature
Class1,P1,Class1_it2_example_0153,,,,,,,1,0,23,[],0.432,curvature
Class1,P1,Class1_it2_example_0154,,,,,,,1,0,23,[],0.432,curvature
Class1,P1,Class1_it2_example_0155,,,,,,,1,0,23,[],0.432,curvature
Class1,P1,Class1_it2_example_0156,,,,,,,1,0,23,[],0.432,curvature
Class1,P1,Class1_it2_example_0157,4.0,0.04151100139780062,4.000215389605546,4.000215389605546,0.0,1.0,1,1,35,[31],0.432,curvature
Class1,P1,Class1_it2_example_0158,,,,,,,1,0,38,[],0.432,curvature
Class1,P1,Class1_it2_example_0159,,,,,,,1,0,37,[],0.432,curvature
Class1,P1,Class1_it2_example_0160,,,,,,,1,0,40,[],0.432,curvature
Class1,P1,Class1_it2_example_0161,,,,,,,1,0,37,[],0.432,curvature
Class1,P1,Class1_it2_example_0162,,,,,,,1,0,39,[],0.432,curvature
Class1,P1,Class1_it2_example_0163,,,,,,,1,0,38,[],0.432,curvature
Class1,P1,Class1_it2_example_0164,6.0,0.04578207113212318,6.000174663960804,6.000174663960804,0.0,1.0,1,1,39,[33],0.432,curvature
Class1,P1,Class1_it2_example_0165,,,,,,,1,0,38,[],0.432,curvature
Class1,P1,Class1_it2_example_0166,,,,,,,1,0,37,[],0.432,curvature
Class1,P1,Class1_it2_example_0167,,,,,,,1,0,40,[],0.432,curvature
Class1,P1,Class1_it2_example_0168,,,,,,,1,0,36,[],0.432,curvature
Class1,P1,Class1_it2_example_0169,,,,,,,1,0,33,[],0.432,curvature
Class1,P1,Class1_it2_example_0170,1.0,0.007986822117509562,1.0000318941551498,1.0000318941551498,1.0,0.0,0,1,44,[43],0.432,curvature
Class1,P1,Class1_it2_example_0171,2.0,0.019530946745416777,2.000095362196706,2.000095362196706,1.0,0.0,0,1,29,[27],0.432,curvature
Class1,P1,Class1_it2_example_0172,,,,,,,1,0,30,[],0.432,curvature
Class1,P1,Class1_it2_example_0173,,,,,,,1,0,29,[],0.432,curvature
Class1,P1,Class1_it2_example_0174,2.0,0.0109436460312482,2.000029940623004,2.000029940623004,1.0,0.0,0,1,29,[27],0.432,curvature
Class1,P1,Class1_it2_example_0175,,,,,,,1,0,29,[],0.432,curvature
Class1,P1,Class1_it2_example_0176,,,,,,,1,0,28,[],0.432,curvature
Class1,P1,Class1_it2_example_0177,,,,,,,1,0,28,[],0.432,curvature
Class1,P1,Class1_it2_example_0178,,,,,,,1,0,35,[],0.432,curvature
Class1,P1,Class1_it2_example_0179,,,,,,,1,0,35,[],0.432,curvature
Class1,P1,Class1_it2_example_0180,,,,,,,1,0,36,[],0.432,curvature
Class1,P1,Class1_it2_example_0181,,,,,,,1,0,38,[],0.432,curvature
Class1,P1,Class1_it2_example_0182,6.0,0.046670537953812374,6.0001815088472865,6.0001815088472865,0.0,1.0,1,1,36,[30],0.432,curvature
Class1,P1,Class1_it2_example_0183,,,,,,,1,0,32,[],0.432,curvature
Class1,P1,Class1_it2_example_0184,,,,,,,1,0,23,[],0.432,curvature
Class1,P1,Class1_it2_example_0185,3.0,0.026185438706553654,3.0001142773568232,3.0001142773568232,1.0,0.0,0,1,30,[27],0.432,curvature
