Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,concave_d2x=0-002,0.03896103896103896,5.568508074038677e-05,0.03896109585694384,0.025974054943593904,231.0,1.0,19,0.936,0.924
Class1,P2,concave_d2x=0-002,9.106781609195403,0.028918417939963838,9.106868175644616,4.372468811482615,117.0,153.0,133,1.1,0.58
Class1,P3,concave_d2x=0-002,8.003687943262412,0.02865026088483496,8.003769576217797,1.2042597392350642,227.0,229.0,23,1.888,0.94
Class2,P1,concave_d2x=0-002,2.21983024691358,0.004663214018271155,2.219838725678491,0.7175974761022151,210.0,62.0,40,1.104,0.864
Class2,P2,concave_d2x=0-002,5.818432203389831,0.010497007579216752,5.8184473444564215,2.550856320552316,212.0,139.0,38,1.42,0.944
Class2,P3,concave_d2x=0-002,12.310639880952381,0.07909651744993762,12.310967239257568,5.500189792744735,180.0,243.0,70,1.74,0.896
Class3,P1,concave_d2x=0-002,1.269736842105263,0.003162688582017603,1.2697439596697444,1.0921123653153688,73.0,9.0,177,0.332,0.304
Class3,P2,concave_d2x=0-002,1.4821937321937322,0.003489696156273951,1.4822005393348419,0.6709463714373823,227.0,35.0,23,1.064,0.936
Class3,P3,concave_d2x=0-002,14.870182841068916,0.08922424780986077,14.870547024819674,7.363146262013327,172.0,277.0,78,1.808,0.948
Class4,P1,concave_d2x=0-002,,,,,0.0,0.0,50,0.0,0.0
Class4,P2,concave_d2x=0-002,0.20987654320987653,0.0001365377181672976,0.20987659928816835,0.0,27.0,2.0,23,0.6,0.54
Class4,P3,concave_d2x=0-002,,,,,0.0,0.0,50,0.0,0.0
