Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave_d2x=-0-002,3.0625,0.02198209735099453,3.062588445454625,3.062588445454625,0.9066666666666666,300.0,272.0
Class1,P2,concave_d2x=-0-002,26.880281690140844,0.25337905747182404,26.881640576778597,26.04358808666204,0.24666666666666667,300.0,71.0
Class1,P3,concave_d2x=-0-002,26.65,0.18983915708875052,26.65075180701707,23.300711317567874,0.03666666666666667,300.0,10.0
Class2,P1,concave_d2x=-0-002,4.095505617977528,0.02908896164925768,4.095621998454862,3.955172569460622,0.3,300.0,89.0
Class2,P2,concave_d2x=-0-002,25.7,0.04318193017835102,25.70004958986859,23.725034650382522,0.15666666666666668,300.0,40.0
Class2,P3,concave_d2x=-0-002,17.272727272727273,0.13851268964612828,17.273394096163376,14.000549471326451,0.043333333333333335,300.0,11.0
Class3,P1,concave_d2x=-0-002,3.2222222222222223,0.017630573042453287,3.2222738060783644,3.2222738060783644,0.03,300.0,9.0
Class3,P2,concave_d2x=-0-002,3.4,0.01302108119230904,3.400028602563087,3.400028602563087,0.05,300.0,15.0
Class3,P3,concave_d2x=-0-002,28.285714285714285,0.2108706126193345,28.28658472862339,28.28658472862339,0.04666666666666667,300.0,14.0
Class4,P1,concave_d2x=-0-002,,,,,0.0,100.0,0.0
Class4,P2,concave_d2x=-0-002,,,,,0.0,100.0,0.0
Class4,P3,concave_d2x=-0-002,,,,,0.0,100.0,0.0
