Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,wavelet,2.0766666666666667,0.023334278938591003,2.0768206167246515,1.676137524307038,1.204,250.0,250.0
Class1,P2,wavelet,17.005050505050505,0.062024098240608526,17.005242863855113,16.437418633653657,1.068,250.0,231.0
Class1,P3,wavelet,26.041871921182267,0.1697624162235005,26.042490044523852,25.46366248737701,1.064,250.0,203.0
Class2,P1,wavelet,3.354,0.034578227651766325,3.354256368986806,2.1722464506962584,1.364,250.0,250.0
Class2,P2,wavelet,16.62357723577236,0.08839773519361707,16.62393439076441,16.27840335301364,0.996,250.0,205.0
Class2,P3,wavelet,28.308139534883722,0.2237039164103408,28.30907799603656,28.082329559579183,0.836,250.0,172.0
Class3,P1,wavelet,6.063266666666666,0.08306390276389926,6.063932041521064,2.4364752915321866,1.652,250.0,250.0
Class3,P2,wavelet,16.333333333333332,0.10384201166007659,16.333740141077133,15.448358187669454,1.08,250.0,221.0
Class3,P3,wavelet,25.88018018018018,0.20891333757774697,25.881071649640802,25.352231354844943,0.932,250.0,185.0
Class4,P1,wavelet,,,,,0.78,50.0,30.0
Class4,P2,wavelet,66.07246376811595,0.5415251828473946,66.07477018881092,64.30659717731518,0.64,50.0,23.0
Class4,P3,wavelet,,,,,0.16,50.0,5.0
