Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,line_distance_10,4.5021008403361344,0.03161495458734198,4.502267598678843,2.9329497211928834,1.076,250.0,238.0
Class1,P2,line_distance_10,17.40771349862259,0.06361858558429606,17.40791270807306,6.987709888562364,1.6,250.0,242.0
Class1,P3,line_distance_10,18.239,0.09612106775466549,18.23934078208009,4.24002696912422,1.952,250.0,250.0
Class2,P1,line_distance_10,7.822916666666667,0.04737021561207269,7.82318049105048,3.9961536012319248,1.292,250.0,240.0
Class2,P2,line_distance_10,11.890013495276653,0.031007763376118328,11.89007710535638,3.878565606346661,1.5,250.0,247.0
Class2,P3,line_distance_10,18.295333333333332,0.12352285779375297,18.295839646298354,5.120056255166798,1.92,250.0,250.0
Class3,P1,line_distance_10,2.7672064777327936,0.04673887056976262,2.767631390627563,2.6846231640477813,0.996,250.0,247.0
Class3,P2,line_distance_10,6.22672064777328,0.020225099423844914,6.226770760197667,3.7976046723231858,1.2,250.0,247.0
Class3,P3,line_distance_10,16.604166666666664,0.09051990123966243,16.604525348166298,6.7864871884588975,1.88,250.0,248.0
Class4,P1,line_distance_10,,,,,0.0,50.0,0.0
Class4,P2,line_distance_10,5.8604651162790695,0.02462388832353552,5.860524314611637,5.860524314611637,0.86,50.0,43.0
Class4,P3,line_distance_10,,,,,0.0,50.0,0.0
