Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,1.0,0.019487928059540693,1.0001898716444062,1.0001898716444062,1,31,[30],300,300,wavelet
Class1,P1,Class1_example_0002,0.5,0.008447917960757056,0.5000713622253045,0.0,2,31,"[30, 31]",300,300,wavelet
Class1,P1,Class1_example_0003,1.0,0.014172382420848395,1.000100423169335,1.000100423169335,1,33,[32],300,300,wavelet
Class1,P1,Class1_example_0004,1.5,0.012354047631897291,1.5000518455624845,1.0000219501718057,2,38,"[36, 37]",300,300,wavelet
Class1,P1,Class1_example_0005,2.0,0.01225858656813783,2.0000375678833255,2.0000375678833255,1,38,[36],300,300,wavelet
Class1,P1,Class1_example_0006,0.5,0.00817203860534843,0.5000667777556986,0.0,2,25,"[25, 26]",300,300,wavelet
Class1,P1,Class1_example_0007,1.0,0.015782268296989255,1.0001245322421592,1.0001245322421592,1,31,[30],300,300,wavelet
Class1,P1,Class1_example_0008,2.0,0.03260698607732615,2.0002657862246824,2.0002657862246824,1,31,[29],300,300,wavelet
Class1,P1,Class1_example_0009,1.0,0.013036085067995917,1.000084966147327,1.000084966147327,1,37,[36],300,300,wavelet
Class1,P1,Class1_example_0010,0.0,0.0,0.0,0.0,1,29,[29],300,300,wavelet
Class1,P1,Class1_example_0011,1.0,0.019647608082193013,1.0001929956280196,1.0001929956280196,1,28,[29],300,300,wavelet
Class1,P1,Class1_example_0012,0.0,0.0,0.0,0.0,1,29,[29],300,300,wavelet
Class1,P1,Class1_example_0013,4.0,0.0440007728298939,4.000242001180632,4.000242001180632,1,38,[34],300,300,wavelet
Class1,P1,Class1_example_0014,1.5,0.016981219862513275,1.5000969514231195,1.0000483080059304,2,35,"[33, 34]",300,300,wavelet
Class1,P1,Class1_example_0015,1.5,0.020748922474112808,1.5001443023315109,1.000076491160736,2,32,"[30, 31]",300,300,wavelet
Class1,P1,Class1_example_0016,2.0,0.02303318032667101,2.00013262745148,2.00013262745148,1,33,[31],300,300,wavelet
Class1,P1,Class1_example_0017,0.0,0.0,0.0,0.0,1,32,[32],300,300,wavelet
Class1,P1,Class1_example_0018,1.0,0.01747200745056865,1.0001526238751528,1.0001526238751528,1,30,[29],300,300,wavelet
Class1,P1,Class1_example_0019,1.0,0.022048199911470445,1.000243032027385,1.000243032027385,1,25,[26],300,300,wavelet
Class1,P1,Class1_example_0020,2.0,0.04453625101435055,2.0004958079572206,2.0004958079572206,1,21,[23],300,300,wavelet
Class1,P1,Class1_example_0021,2.0,0.040745917975136936,2.0004150143986714,2.0004150143986714,1,21,[23],300,300,wavelet
Class1,P1,Class1_example_0022,1.0,0.021607163520078743,1.000233407518157,1.000233407518157,1,22,[23],300,300,wavelet
Class1,P1,Class1_example_0023,1.0,0.01582031885057844,1.0001251334150811,1.0001251334150811,1,37,[36],300,300,wavelet
Class1,P1,Class1_example_0024,1.0,0.010955762862012497,1.00006001256919,1.00006001256919,1,44,[43],300,300,wavelet
Class1,P1,Class1_example_0025,1.0,0.009556313755702428,1.000045660523857,1.000045660523857,1,38,[37],300,300,wavelet
Class1,P1,Class1_example_0026,2.0,0.029819810780342793,2.0002222929252076,2.0002222929252076,1,39,[37],300,300,wavelet
Class1,P1,Class1_example_0027,0.5,0.009326540283576601,0.5000869767886994,0.0,2,31,"[30, 31]",300,300,wavelet
Class1,P1,Class1_example_0028,9.0,0.11823629829489046,9.000778062327292,0.0,3,31,"[30, 31, 57]",300,300,wavelet
Class1,P1,Class1_example_0029,0.5,0.005745177439908988,0.5000330059744217,0.0,2,39,"[38, 39]",300,300,wavelet
Class1,P1,Class1_example_0030,0.5,0.009124703778821075,0.5000832532879413,0.0,2,25,"[24, 25]",300,300,wavelet
Class1,P1,Class1_example_0031,0.0,0.0,0.0,0.0,1,33,[33],300,300,wavelet
Class1,P1,Class1_example_0032,0.0,0.0,0.0,0.0,1,25,[25],300,300,wavelet
Class1,P1,Class1_example_0033,0.5,0.008942907614056694,0.5000799692015204,0.0,2,26,"[25, 26]",300,300,wavelet
Class1,P1,Class1_example_0034,3.5,0.037264982649314105,3.50019993851927,3.0001369819942623,2,39,"[35, 36]",300,300,wavelet
Class1,P1,Class1_example_0035,1.0,0.015695855574275552,1.0001231723553896,1.0001231723553896,1,32,[31],300,300,wavelet
Class1,P1,Class1_example_0036,2.0,0.02330437965374932,2.0001357689194617,2.0001357689194617,1,36,[34],300,300,wavelet
Class1,P1,Class1_example_0037,1.0,0.007378105890134212,1.0000272178528573,1.0000272178528573,1,37,[36],300,300,wavelet
Class1,P1,Class1_example_0038,1.0,0.014582826877711952,1.000106323767501,1.000106323767501,1,31,[30],300,300,wavelet
Class1,P1,Class1_example_0039,1.0,0.020248809102526022,1.0002049861253794,1.0002049861253794,1,25,[26],300,300,wavelet
Class1,P1,Class1_example_0040,2.0,0.030267201657696807,2.0002290127623357,2.0002290127623357,1,37,[35],300,300,wavelet
Class1,P1,Class1_example_0041,1.0,0.01569065870613573,1.0001230908096426,1.0001230908096426,1,36,[35],300,300,wavelet
Class1,P1,Class1_example_0042,1.5,0.0209751753664566,1.500147508748697,1.0000776975031147,2,36,"[34, 35]",300,300,wavelet
Class1,P1,Class1_example_0043,2.0,0.02108495921604636,2.0001111407882166,2.0001111407882166,1,35,[33],300,300,wavelet
Class1,P1,Class1_example_0044,1.0,0.013593328792223858,1.0000923850263301,1.0000923850263301,1,35,[34],300,300,wavelet
Class1,P1,Class1_example_0045,2.0,0.0247903819031442,2.0001536348578086,2.0001536348578086,1,41,[39],300,300,wavelet
Class1,P1,Class1_example_0046,1.0,0.016559835687787627,1.0001371046801566,1.0001371046801566,1,34,[33],300,300,wavelet
Class1,P1,Class1_example_0047,1.0,0.010133229758547468,1.0000513398547795,1.0000513398547795,1,37,[36],300,300,wavelet
Class1,P1,Class1_example_0048,1.0,0.020800479084095658,1.0002163065707976,1.0002163065707976,1,23,[24],300,300,wavelet
Class1,P1,Class1_example_0049,1.5,0.01904457939819343,1.5001216899632785,1.0000631569867309,2,36,"[34, 35]",300,300,wavelet
Class1,P1,Class1_example_0050,1.0,0.01050408081070564,1.0000551663351767,1.0000551663351767,1,42,[41],300,300,wavelet
Class1,P1,Class1_example_0051,0.0,0.0,0.0,0.0,1,29,[29],300,300,wavelet
Class1,P1,Class1_example_0052,1.0,0.01397337601001003,1.0000976228534477,1.0000976228534477,1,31,[30],300,300,wavelet
Class1,P1,Class1_example_0053,1.5,0.01885286136202219,1.5001193830576303,1.0000606061691444,2,27,"[25, 26]",300,300,wavelet
Class1,P1,Class1_example_0054,0.0,0.0,0.0,0.0,1,35,[35],300,300,wavelet
Class1,P1,Class1_example_0055,1.0,0.0131601717680494,1.0000865913114547,1.0000865913114547,1,35,[34],300,300,wavelet
Class1,P1,Class1_example_0056,0.0,0.0,0.0,0.0,1,28,[28],300,300,wavelet
Class1,P1,Class1_example_0057,0.0,0.0,0.0,0.0,1,30,[30],300,300,wavelet
Class1,P1,Class1_example_0058,1.0,0.015920575972873663,1.0001267243401248,1.0001267243401248,1,27,[26],300,300,wavelet
Class1,P1,Class1_example_0059,1.0,0.017289500521169843,1.000149452246149,1.000149452246149,1,26,[27],300,300,wavelet
Class1,P1,Class1_example_0060,0.5,0.006472093759951114,0.5000418862431802,0.0,2,30,"[30, 31]",300,300,wavelet
Class1,P1,Class1_example_0061,1.0,0.02102655796098918,1.000221033641908,1.000221033641908,1,24,[25],300,300,wavelet
Class1,P1,Class1_example_0062,0.0,0.0,0.0,0.0,1,27,[27],300,300,wavelet
Class1,P1,Class1_example_0063,0.0,0.0,0.0,0.0,1,26,[26],300,300,wavelet
Class1,P1,Class1_example_0064,1.0,0.017117951566125056,1.0001465014015798,1.0001465014015798,1,36,[35],300,300,wavelet
Class1,P1,Class1_example_0065,1.0,0.014509691409194447,1.0001052600325577,1.0001052600325577,1,27,[28],300,300,wavelet
Class1,P1,Class1_example_0066,0.0,0.0,0.0,0.0,1,33,[33],300,300,wavelet
Class1,P1,Class1_example_0067,1.0,0.01702390245914076,1.0001448961300248,1.0001448961300248,1,29,[28],300,300,wavelet
Class1,P1,Class1_example_0068,0.5,0.009102414468738718,0.5000828470855211,0.0,2,60,"[60, 61]",300,300,wavelet
Class1,P1,Class1_example_0069,1.0,0.01730282150495932,1.0001496826135738,1.0001496826135738,1,30,[29],300,300,wavelet
Class1,P1,Class1_example_0070,2.0,0.01900817520163589,2.0000903256414437,2.0000903256414437,1,38,[36],300,300,wavelet
Class1,P1,Class1_example_0071,1.0,0.013801662206421539,1.0000952384046533,1.0000952384046533,1,34,[33],300,300,wavelet
Class1,P1,Class1_example_0072,5.0,0.056148520794986334,5.000315255700131,5.000315255700131,1,46,[41],300,300,wavelet
Class1,P1,Class1_example_0073,1.0,0.017689381986346064,1.000156444880029,1.000156444880029,1,21,[22],300,300,wavelet
Class1,P1,Class1_example_0074,1.0,0.01728471332347059,1.0001493695017132,1.0001493695017132,1,29,[28],300,300,wavelet
Class1,P1,Class1_example_0075,0.0,0.0,0.0,0.0,1,30,[30],300,300,wavelet
Class1,P1,Class1_example_0076,1.0,0.012014776675314587,1.0000721748246761,1.0000721748246761,1,31,[30],300,300,wavelet
Class1,P1,Class1_example_0077,1.0,0.01526414565251799,1.0001164902862572,1.0001164902862572,1,31,[30],300,300,wavelet
Class1,P1,Class1_example_0078,1.0,0.009611444974687688,1.0000461888705447,1.0000461888705447,1,33,[32],300,300,wavelet
Class1,P1,Class1_example_0079,0.0,0.0,0.0,0.0,1,29,[29],300,300,wavelet
Class1,P1,Class1_example_0080,0.5,0.01017593845030701,0.5001035390030193,0.0,2,28,"[27, 28]",300,300,wavelet
Class1,P1,Class1_example_0081,0.5,0.009156347188455538,0.5000838316660873,0.0,2,26,"[25, 26]",300,300,wavelet
Class1,P1,Class1_example_0082,2.0,0.027328607215592604,2.000186704478445,2.000186704478445,1,33,[31],300,300,wavelet
Class1,P1,Class1_example_0083,1.0,0.01827052197657897,1.0001668920601685,1.0001668920601685,1,31,[30],300,300,wavelet
Class1,P1,Class1_example_0084,1.0,0.016720012586304733,1.0001397696426666,1.0001397696426666,1,31,[30],300,300,wavelet
Class1,P1,Class1_example_0085,0.0,0.0,0.0,0.0,1,28,[28],300,300,wavelet
Class1,P1,Class1_example_0086,0.5,0.009512354788946131,0.5000904767075962,0.0,2,30,"[29, 30]",300,300,wavelet
Class1,P1,Class1_example_0087,2.0,0.021516207439151946,2.0001157334470836,2.0001157334470836,1,50,[48],300,300,wavelet
Class1,P1,Class1_example_0088,1.0,0.003715428806915666,1.0000069021817897,1.0000069021817897,1,40,[39],300,300,wavelet
Class1,P1,Class1_example_0089,2.0,0.018763125827503502,2.000088011786186,2.000088011786186,1,44,[42],300,300,wavelet
Class1,P1,Class1_example_0090,1.0,0.013551269887032813,1.000091814242848,1.000091814242848,1,34,[33],300,300,wavelet
Class1,P1,Class1_example_0091,2.0,0.026918657123757295,2.0001811453219296,2.0001811453219296,1,38,[36],300,300,wavelet
Class1,P1,Class1_example_0092,1.0,0.018436533596639104,1.0001699384459923,1.0001699384459923,1,32,[31],300,300,wavelet
Class1,P1,Class1_example_0093,1.0,0.01769392320814922,1.0001565252091773,1.0001565252091773,1,31,[30],300,300,wavelet
Class1,P1,Class1_example_0094,1.0,0.015379186621821361,1.000118252698724,1.000118252698724,1,21,[22],300,300,wavelet
Class1,P1,Class1_example_0095,0.0,0.0,0.0,0.0,1,26,[26],300,300,wavelet
Class1,P1,Class1_example_0096,0.5,0.004897314122930707,0.5000239831104291,0.0,2,70,"[70, 71]",300,300,wavelet
Class1,P1,Class1_example_0097,1.0,0.011227938869649456,1.0000630313191567,1.0000630313191567,1,51,[52],300,300,wavelet
Class1,P1,Class1_example_0098,0.5,0.0060423044934227454,0.5000365081107491,0.0,2,57,"[57, 58]",300,300,wavelet
Class1,P1,Class1_example_0099,2.0,0.016362635660244984,2.000066932841436,2.000066932841436,1,31,[29],300,300,wavelet
Class1,P1,Class1_example_0100,2.0,0.02430931772500622,2.000147730276005,2.000147730276005,1,32,[30],300,300,wavelet
Class1,P1,Class1_example_0101,1.0,0.012863653615296178,1.000082733369762,1.000082733369762,1,33,[32],300,300,wavelet
Class1,P1,Class1_example_0102,3.0,0.033220343781597106,3.0001839262353514,3.0001839262353514,1,31,[28],300,300,wavelet
Class1,P1,Class1_example_0103,1.0,0.010697901125388043,1.0000572209071283,1.0000572209071283,1,35,[34],300,300,wavelet
Class1,P1,Class1_example_0104,0.0,0.0,0.0,0.0,1,30,[30],300,300,wavelet
Class1,P1,Class1_example_0105,1.5,0.023380447251960812,1.5001829810769358,1.0001000670568687,2,31,"[29, 30]",300,300,wavelet
Class1,P1,Class1_example_0106,0.0,0.0,0.0,0.0,1,35,[35],300,300,wavelet
Class1,P1,Class1_example_0107,1.0,0.013215192080603733,1.0000873168387485,1.0000873168387485,1,37,[36],300,300,wavelet
Class1,P1,Class1_example_0108,1.0,0.011922050701180464,1.0000710651213351,1.0000710651213351,1,37,[36],300,300,wavelet
Class1,P1,Class1_example_0109,2.0,0.02529851839530206,2.0001599973584607,2.0001599973584607,1,38,[36],300,300,wavelet
Class1,P1,Class1_example_0110,1.0,0.016350074777265133,1.0001336535409766,1.0001336535409766,1,29,[28],300,300,wavelet
Class1,P1,Class1_example_0111,0.0,0.0,0.0,0.0,1,27,[27],300,300,wavelet
Class1,P1,Class1_example_0112,1.0,0.014023522886121187,1.0000983247631892,1.0000983247631892,1,35,[34],300,300,wavelet
Class1,P1,Class1_example_0113,0.5,0.010185607004714603,0.5001037358289323,0.0,2,32,"[31, 32]",300,300,wavelet
Class1,P1,Class1_example_0114,2.0,0.034114535244119115,2.000290929218778,2.000290929218778,1,35,[33],300,300,wavelet
Class1,P1,Class1_example_0115,1.0,0.017615288431915954,1.0001551371595006,1.0001551371595006,1,32,[31],300,300,wavelet
Class1,P1,Class1_example_0116,1.0,0.017733182306567175,1.0001572205182134,1.0001572205182134,1,30,[29],300,300,wavelet
Class1,P1,Class1_example_0117,1.0,0.01330730898412702,1.0000885383166827,1.0000885383166827,1,35,[34],300,300,wavelet
Class1,P1,Class1_example_0118,3.0,0.04499964451128313,3.0003374756860506,3.0003374756860506,1,37,[34],300,300,wavelet
Class1,P1,Class1_example_0119,1.0,0.014578053944822367,1.0001062541834334,1.0001062541834334,1,39,[38],300,300,wavelet
