Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave,34.787166666666664,0.17943249419957646,34.787733707839024,3.336768422230678,2.1866666666666665,300.0,300.0
Class1,P2,concave,31.126277777777776,0.1927200826403225,31.127124274869928,20.467759430275034,2.1866666666666665,300.0,300.0
Class1,P3,concave,34.296388888888885,0.1864279204767398,34.296997572461464,6.4001490766237765,2.1866666666666665,300.0,300.0
Class2,P1,concave,29.356227106227106,0.10035934384016204,29.356490613164787,12.564333280279714,1.8033333333333332,300.0,273.0
Class2,P2,concave,19.265873015873016,0.07636403860245304,19.26612626580255,9.538569878744692,1.8033333333333332,300.0,273.0
Class2,P3,concave,31.37026862026862,0.1427920078133284,31.370758567338644,15.33003881559637,1.8033333333333332,300.0,273.0
Class3,P1,concave,37.830555555555556,0.39570476492870565,37.83295638506379,32.96577706222336,1.32,300.0,300.0
Class3,P2,concave,9.037222222222221,0.03141672352620081,9.037306221183284,5.4600405185439485,1.32,300.0,300.0
Class3,P3,concave,17.16388888888889,0.07798619305121758,17.164120072624616,12.66019651401009,1.32,300.0,300.0
Class4,P1,concave,,,,,0.99,100.0,98.0
Class4,P2,concave,1.8775510204081634,0.005940872339135983,1.8775714350380344,1.3367356344567478,0.99,100.0,98.0
Class4,P3,concave,,,,,0.99,100.0,98.0
