Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,hilbert,39.60008333333333,0.23857951965638227,39.60094927887025,2.7170269200246584,2.6566666666666667,300.0,300.0
Class1,P2,hilbert,34.35213888888889,0.1751384639729747,34.35272690736774,17.00050596456928,2.6566666666666667,300.0,300.0
Class1,P3,hilbert,37.300916666666666,0.17427193357233572,37.30142307213908,3.436706369652251,2.6566666666666667,300.0,300.0
Class2,P1,hilbert,28.071666666666665,0.09201076453130401,28.071986817493876,3.1004240283688382,2.71,300.0,300.0
Class2,P2,hilbert,23.041222222222224,0.09215546417817325,23.041505450255336,4.90001466198928,2.71,300.0,300.0
Class2,P3,hilbert,35.721,0.1438630399368463,35.72147687706974,9.760296346241986,2.71,300.0,300.0
Class3,P1,hilbert,32.69288888888889,0.31404045417116155,32.69489582655311,14.655137709273413,2.2533333333333334,300.0,300.0
Class3,P2,hilbert,15.463222222222221,0.09408052896984706,15.46363366190187,2.906692209255292,2.2533333333333334,300.0,300.0
Class3,P3,hilbert,24.758333333333333,0.10873769268988114,24.75865482883284,7.673435973388955,2.2533333333333334,300.0,300.0
Class4,P1,hilbert,,,,,1.04,100.0,100.0
Class4,P2,hilbert,4.246666666666667,0.016065917765912548,4.246715848071228,2.850007342183352,1.04,100.0,100.0
Class4,P3,hilbert,,,,,1.04,100.0,100.0
