Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,72.33333333333333,0.46978710321136324,72.33488279127435,2.000278854972364,6,31,"[29, 57, 91, 116, 154, 169]",300,300,line_distance_8
Class1,P1,Class1_example_0002,59.25,0.43415121740270524,59.25168084936007,2.000242571913754,4,31,"[29, 60, 101, 167]",300,300,line_distance_8
Class1,P1,Class1_example_0003,61.6,0.5122800447436455,61.602180565674736,3.0003105862081827,5,33,"[30, 61, 94, 123, 159]",300,300,line_distance_8
Class1,P1,Class1_example_0004,57.0,0.48684182162819695,57.00227667471905,2.0000339334723547,4,38,"[36, 70, 106, 164]",300,300,line_distance_8
Class1,P1,Class1_example_0005,67.4,0.4622697076597742,67.40167241698735,3.0000479105382514,5,38,"[35, 73, 103, 137, 173]",300,300,line_distance_8
Class1,P1,Class1_example_0006,77.2,0.47268706222085066,77.20146955046707,1.0001528522771304,5,25,"[24, 78, 103, 136, 168]",300,300,line_distance_8
Class1,P1,Class1_example_0007,66.0,0.3722269390924433,66.00114751862948,2.0001887073819735,5,31,"[29, 59, 95, 132, 166]",300,300,line_distance_8
Class1,P1,Class1_example_0008,57.0,0.4084367172393242,57.00153336403986,3.0002321350426366,4,31,"[28, 54, 93, 171]",300,300,line_distance_8
Class1,P1,Class1_example_0009,45.666666666666664,0.30589575147830006,45.66776797441887,2.0001113116874683,3,37,"[35, 84, 125]",300,300,line_distance_8
Class1,P1,Class1_example_0010,67.4,0.4925565803883828,67.40186602136092,1.0001297157674314,5,29,"[28, 59, 89, 136, 168]",300,300,line_distance_8
Class1,P1,Class1_example_0011,59.75,0.39169460198454586,59.75130005987317,0.0,4,28,"[28, 62, 98, 163]",300,300,line_distance_8
Class1,P1,Class1_example_0012,64.0,0.4179988822731009,64.00149167789058,1.0000732477761596,4,29,"[28, 68, 104, 170]",300,300,line_distance_8
Class1,P1,Class1_example_0013,69.6,0.47320270623584193,69.60165969640028,4.000091463386595,5,38,"[34, 70, 106, 150, 170]",300,300,line_distance_8
Class1,P1,Class1_example_0014,66.8,0.5101886237654266,66.80210425174349,3.0001663026356638,5,35,"[32, 65, 98, 141, 167]",300,300,line_distance_8
Class1,P1,Class1_example_0015,64.8,0.4008435503127138,64.80130737489242,3.000232145220496,5,32,"[29, 62, 94, 130, 163]",300,300,line_distance_8
Class1,P1,Class1_example_0016,62.666666666666664,0.32207482547959554,62.66756941577489,3.0001356348512354,3,33,"[30, 93, 158]",300,300,line_distance_8
Class1,P1,Class1_example_0017,72.33333333333333,0.5296654285123282,72.33531462317973,1.0001003622901834,6,32,"[31, 61, 95, 122, 143, 172]",300,300,line_distance_8
Class1,P1,Class1_example_0018,61.5,0.3869201864565388,61.501265934655365,2.0002236691334736,4,30,"[28, 57, 104, 173]",300,300,line_distance_8
Class1,P1,Class1_example_0019,53.25,0.2622895703732451,53.250767249855045,1.0002632438871795,4,25,"[24, 50, 85, 152]",300,300,line_distance_8
Class1,P1,Class1_example_0020,46.25,0.22477026517301207,46.2505745989732,0.0,4,21,"[21, 42, 74, 132]",300,300,line_distance_8
Class1,P1,Class1_example_0021,68.8,0.3754822336180727,68.80104701000685,0.0,5,21,"[21, 42, 77, 137, 172]",300,300,line_distance_8
Class1,P1,Class1_example_0022,68.0,0.3388557862599523,68.00090463704342,1.0002569203227003,5,22,"[21, 43, 78, 135, 171]",300,300,line_distance_8
Class1,P1,Class1_example_0023,67.2,0.46889568439428064,67.20168014508195,3.0003835641292684,5,37,"[34, 64, 108, 142, 167]",300,300,line_distance_8
Class1,P1,Class1_example_0024,44.0,0.3967113911255931,44.001801855005716,2.0000981429061735,3,44,"[42, 81, 137]",300,300,line_distance_8
Class1,P1,Class1_example_0025,55.75,0.5167039060812494,55.75263043887058,2.000069261802675,4,38,"[36, 68, 111, 156]",300,300,line_distance_8
Class1,P1,Class1_example_0026,55.25,0.4894535528299381,55.25224563483662,3.0002624720996014,4,39,"[36, 69, 110, 156]",300,300,line_distance_8
Class1,P1,Class1_example_0027,64.8,0.4356859694749298,64.80149001066741,2.000250954549262,5,31,"[29, 53, 93, 132, 168]",300,300,line_distance_8
Class1,P1,Class1_example_0028,58.75,0.45821487820559925,58.751925944271484,2.000200905838329,4,31,"[29, 57, 102, 167]",300,300,line_distance_8
Class1,P1,Class1_example_0029,62.5,0.34121536944801945,62.50100982045988,1.0000343882598905,4,39,"[38, 80, 119, 167]",300,300,line_distance_8
Class1,P1,Class1_example_0030,58.5,0.2527785000148949,58.50065459866688,2.000280032773117,4,25,"[23, 52, 88, 167]",300,300,line_distance_8
Class1,P1,Class1_example_0031,63.25,0.3619821142175623,63.25116111594923,1.0000353461841398,4,33,"[32, 69, 111, 171]",300,300,line_distance_8
Class1,P1,Class1_example_0032,72.0,0.3786033798801606,72.00109495947652,1.0001291824793412,5,25,"[24, 54, 90, 145, 170]",300,300,line_distance_8
Class1,P1,Class1_example_0033,34.666666666666664,0.12955030974768075,34.666968761724824,2.0002778421746914,3,26,"[24, 56, 98]",300,300,line_distance_8
Class1,P1,Class1_example_0034,54.5,0.3714372404459245,54.50128624143012,5.000257917609809,4,39,"[34, 68, 105, 157]",300,300,line_distance_8
Class1,P1,Class1_example_0035,54.25,0.2925734317864196,54.25083693690304,2.000183813932951,4,32,"[30, 60, 95, 156]",300,300,line_distance_8
Class1,P1,Class1_example_0036,72.4,0.4671527201014132,72.40156252802669,3.0001403597099126,5,36,"[33, 74, 114, 145, 170]",300,300,line_distance_8
Class1,P1,Class1_example_0037,60.0,0.3025267805586217,60.00080733319468,2.000038004151778,4,37,"[35, 72, 107, 170]",300,300,line_distance_8
Class1,P1,Class1_example_0038,62.6,0.40358694546133256,62.60131969321442,2.000163880921259,5,31,"[29, 61, 87, 124, 163]",300,300,line_distance_8
Class1,P1,Class1_example_0039,76.2,0.4371334646151855,76.20128180956026,1.0002394254236713,5,25,"[24, 70, 102, 139, 169]",300,300,line_distance_8
Class1,P1,Class1_example_0040,55.0,0.3533282303235038,55.001170007127904,4.000418979039274,4,37,"[33, 63, 97, 167]",300,300,line_distance_8
Class1,P1,Class1_example_0041,55.25,0.3735126329443045,55.25127399415604,2.00017515656173,4,36,"[34, 66, 104, 157]",300,300,line_distance_8
Class1,P1,Class1_example_0042,65.8,0.4267708664936881,65.80140460522912,3.000271149353318,5,36,"[33, 64, 95, 143, 168]",300,300,line_distance_8
Class1,P1,Class1_example_0043,64.2,0.3166325270100132,64.20086930849793,4.000248358958252,5,35,"[31, 62, 92, 134, 169]",300,300,line_distance_8
