Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,61.333333333333336,0.39391108013541715,61.33462040964945,2.000278854972364,6,31,"[29, 58, 90, 91, 117, 165]",300,300,wavelet
Class1,P1,Class1_example_0002,49.833333333333336,0.37899180001718474,49.83484189632092,1.0000768945250091,6,31,"[29, 30, 61, 95, 96, 168]",300,300,wavelet
Class1,P1,Class1_example_0003,61.666666666666664,0.518851838251948,61.66888679629966,2.000130104157585,6,33,"[31, 61, 94, 95, 124, 159]",300,300,wavelet
Class1,P1,Class1_example_0004,53.2,0.584481750512353,53.20435036645165,2.0000339334723547,5,38,"[1, 36, 71, 105, 165]",300,300,wavelet
Class1,P1,Class1_example_0005,63.333333333333336,0.5550824610570696,63.336927151346025,3.0000479105382514,6,38,"[2, 35, 73, 103, 142, 175]",300,300,wavelet
Class1,P1,Class1_example_0006,80.125,0.5031025400949543,80.12663580651747,1.0001528522771304,8,25,"[24, 53, 79, 103, 104, 137, 169, 170]",300,300,wavelet
Class1,P1,Class1_example_0007,66.6,0.37825674310029783,66.6011762190711,2.0001887073819735,5,31,"[29, 60, 95, 133, 167]",300,300,wavelet
Class1,P1,Class1_example_0008,49.166666666666664,0.36175509035118575,49.1680732604201,3.0002321350426366,6,31,"[27, 28, 55, 91, 92, 174]",300,300,wavelet
Class1,P1,Class1_example_0009,63.285714285714285,0.5235608815298636,63.28888663497822,2.0001113116874683,7,37,"[2, 34, 35, 85, 124, 169, 173]",300,300,wavelet
Class1,P1,Class1_example_0010,71.33333333333333,0.5250634328274345,71.33532443164314,1.0001297157674314,6,29,"[28, 60, 90, 114, 137, 171]",300,300,wavelet
Class1,P1,Class1_example_0011,60.0,0.3988553039519521,60.00135873645283,0.0,8,28,"[27, 28, 63, 64, 96, 97, 163, 164]",300,300,wavelet
Class1,P1,Class1_example_0012,64.75,0.42397003997691507,64.75151532034047,1.0000732477761596,4,29,"[28, 69, 103, 173]",300,300,wavelet
Class1,P1,Class1_example_0013,58.75,0.4108599742982615,58.75150858689029,6.000350182693319,4,38,"[32, 71, 104, 168]",300,300,wavelet
Class1,P1,Class1_example_0014,67.4,0.5148336258637316,67.40212437898779,3.0001663026356638,5,35,"[32, 66, 97, 142, 169]",300,300,wavelet
Class1,P1,Class1_example_0015,65.4,0.40387028372426836,65.40131339982433,3.000232145220496,5,32,"[29, 63, 95, 131, 163]",300,300,wavelet
Class1,P1,Class1_example_0016,71.5,0.37998116073689103,71.50106685445854,3.0001356348512354,4,33,"[30, 93, 144, 145]",300,300,wavelet
Class1,P1,Class1_example_0017,66.5,0.4865560842489557,66.50181178531614,0.0,8,32,"[31, 32, 62, 96, 123, 124, 144, 174]",300,300,wavelet
Class1,P1,Class1_example_0018,73.33333333333333,0.45880060251741517,73.33480533551965,2.0002236691334736,6,30,"[28, 58, 92, 115, 148, 175]",300,300,wavelet
Class1,P1,Class1_example_0019,42.6,0.2105084830456776,42.60061629647629,0.0,5,25,"[24, 25, 50, 84, 153]",300,300,wavelet
Class1,P1,Class1_example_0020,75.16666666666667,0.39026189459605787,75.16770174638566,0.0,6,21,"[21, 42, 74, 132, 133, 175]",300,300,wavelet
Class1,P1,Class1_example_0021,69.4,0.37985303563925216,69.40106652287878,0.0,5,21,"[21, 43, 77, 138, 173]",300,300,wavelet
Class1,P1,Class1_example_0022,76.5,0.3809012675050318,76.50097416696566,0.0,6,22,"[22, 44, 78, 136, 137, 174]",300,300,wavelet
Class1,P1,Class1_example_0023,62.0,0.5479238283542515,62.003476135498886,2.0001647729435525,6,37,"[2, 35, 65, 107, 143, 168]",300,300,wavelet
Class1,P1,Class1_example_0024,60.4,0.621478839511554,60.40403942165275,2.0000981429061735,5,44,"[3, 42, 83, 137, 171]",300,300,wavelet
Class1,P1,Class1_example_0025,53.0,0.6071269293270803,53.00456186188675,2.000069261802675,5,38,"[2, 36, 69, 111, 161]",300,300,wavelet
Class1,P1,Class1_example_0026,43.5,0.49094105382133724,43.50356353057199,2.0001051349453367,6,39,"[2, 36, 37, 70, 110, 156]",300,300,wavelet
Class1,P1,Class1_example_0027,64.8,0.4377042357930388,64.80150640031829,2.000250954549262,5,31,"[29, 54, 93, 132, 167]",300,300,wavelet
Class1,P1,Class1_example_0028,58.75,0.469766213299585,58.75204007772483,2.000200905838329,4,31,"[29, 58, 99, 169]",300,300,wavelet
Class1,P1,Class1_example_0029,48.5,0.38387188975698683,48.50255716284673,1.0000343882598905,6,39,"[3, 37, 38, 81, 119, 169]",300,300,wavelet
Class1,P1,Class1_example_0030,58.2,0.2212158466437641,58.20051537632971,1.0000872862592982,5,25,"[24, 52, 84, 85, 169]",300,300,wavelet
Class1,P1,Class1_example_0031,58.666666666666664,0.42517423683582073,58.669689095123324,1.0000353461841398,6,33,"[2, 32, 70, 103, 104, 175]",300,300,wavelet
Class1,P1,Class1_example_0032,73.14285714285714,0.4047578795821179,73.14405522694476,1.0001291824793412,7,25,"[24, 54, 55, 89, 145, 146, 172]",300,300,wavelet
Class1,P1,Class1_example_0033,61.0,0.317863908709017,61.00093255198692,1.000083123256851,7,26,"[24, 25, 57, 87, 88, 158, 164]",300,300,wavelet
Class1,P1,Class1_example_0034,54.5,0.3695581955419778,54.501266767201436,4.000121959631668,4,39,"[35, 69, 104, 158]",300,300,wavelet
Class1,P1,Class1_example_0035,55.4,0.2791866436409703,55.400753787757914,2.000183813932951,5,32,"[30, 61, 93, 94, 155]",300,300,wavelet
Class1,P1,Class1_example_0036,58.285714285714285,0.4805447543869379,58.28872094389145,3.0001403597099126,7,36,"[2, 32, 33, 75, 116, 146, 174]",300,300,wavelet
Class1,P1,Class1_example_0037,55.2,0.4182290431157877,55.202890611815825,2.000038004151778,5,37,"[3, 35, 73, 107, 171]",300,300,wavelet
Class1,P1,Class1_example_0038,63.2,0.40628686215856186,63.20132395250753,2.000163880921259,5,31,"[29, 62, 87, 125, 164]",300,300,wavelet
Class1,P1,Class1_example_0039,69.42857142857143,0.4087414942322212,69.42979251716203,0.0,7,25,"[25, 47, 70, 103, 104, 140, 172]",300,300,wavelet
Class1,P1,Class1_example_0040,59.714285714285715,0.3846252240337145,59.71555165426595,3.0002134130675002,7,37,"[33, 34, 64, 96, 97, 169, 170]",300,300,wavelet
Class1,P1,Class1_example_0041,68.2,0.46080379502142155,68.20156595670149,2.00017515656173,5,36,"[34, 66, 105, 154, 158]",300,300,wavelet
Class1,P1,Class1_example_0042,60.5,0.5096007451589882,60.50330794714256,2.0001056221947757,6,36,"[2, 34, 65, 95, 144, 167]",300,300,wavelet
Class1,P1,Class1_example_0043,58.333333333333336,0.2878588905517006,58.33410764485719,3.000095750953863,6,35,"[32, 62, 63, 92, 135, 170]",300,300,wavelet
Class1,P1,Class1_example_0044,62.8,0.5077438357234342,62.803633066248196,2.0001514629026516,5,35,"[2, 33, 87, 126, 171]",300,300,wavelet
Class1,P1,Class1_example_0045,60.5,0.4792373002398911,60.50296259626622,3.0001923027687654,6,41,"[3, 38, 79, 119, 120, 168]",300,300,wavelet
Class1,P1,Class1_example_0046,54.666666666666664,0.47026593276268375,54.670072077455934,3.000385498185661,6,34,"[1, 31, 65, 111, 112, 140]",300,300,wavelet
