Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave_d2x=0-002,0.20134228187919462,0.00021271538910978482,0.20134249520136233,0.20134249520136233,0.9933333333333333,300.0,298.0
Class1,P2,concave_d2x=0-002,1.1540880503144655,0.001524130916171105,1.1540893657214641,1.1069195616186167,0.5433333333333333,300.0,159.0
Class1,P3,concave_d2x=0-002,2.0066334991708126,0.002518699946645081,2.0066369084111924,1.9253764869279142,0.7033333333333334,300.0,201.0
Class2,P1,concave_d2x=0-002,0.4981949458483754,0.0006209921095433452,0.4981956245260539,0.49458551618171237,0.9266666666666666,300.0,277.0
Class2,P2,concave_d2x=0-002,2.1810344827586206,0.008505498680724645,2.1810659395629948,2.129341787237913,0.8,300.0,232.0
Class2,P3,concave_d2x=0-002,1.8588888888888888,0.003632722390358892,1.8588965406490436,1.6000074872544632,0.5566666666666666,300.0,150.0
Class3,P1,concave_d2x=0-002,0.6455696202531646,0.0011497498303286577,0.6455713322235636,0.6455713322235636,0.5266666666666666,300.0,158.0
Class3,P2,concave_d2x=0-002,0.5155555555555555,0.001790510453390758,0.5155646560462197,0.5111202126448835,0.7533333333333333,300.0,225.0
Class3,P3,concave_d2x=0-002,2.739819004524887,0.008792103702482602,2.7398411948736108,2.7194793598914244,0.7433333333333333,300.0,221.0
Class4,P1,concave_d2x=0-002,,,,,0.42,100.0,42.0
Class4,P2,concave_d2x=0-002,2.8596491228070176,0.006223161633388724,2.8596646452426824,2.684225966920434,0.21,100.0,19.0
Class4,P3,concave_d2x=0-002,,,,,0.0,100.0,0.0
