Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,0.0,0.0,0.0,0.0,1,31,[31],300,300,hilbert
Class1,P1,Class1_example_0002,1.0,0.016895835921515223,1.0001427244506091,1.0001427244506091,1,31,[30],300,300,hilbert
Class1,P1,Class1_example_0003,2.0,0.03268718408826077,2.000267095165948,2.000267095165948,1,33,[31],300,300,hilbert
Class1,P1,Class1_example_0004,3.0,0.034434255019720084,3.0001976131446346,3.0001976131446346,1,38,[35],300,300,hilbert
Class1,P1,Class1_example_0005,4.0,0.04346445168328794,4.000236137849881,4.000236137849881,1,38,[34],300,300,hilbert
Class1,P1,Class1_example_0006,0.0,0.0,0.0,0.0,1,25,[25],300,300,hilbert
Class1,P1,Class1_example_0007,1.0,0.01578226829699192,1.0001245322421595,1.0001245322421595,1,31,[30],300,300,hilbert
Class1,P1,Class1_example_0008,1.0,0.014258693279669554,1.0001016500006605,1.0001016500006605,1,31,[30],300,300,hilbert
Class1,P1,Class1_example_0009,1.0,0.013036085067998138,1.000084966147327,1.000084966147327,1,37,[36],300,300,hilbert
Class1,P1,Class1_example_0010,0.0,0.0,0.0,0.0,1,29,[29],300,300,hilbert
Class1,P1,Class1_example_0011,1.0,0.01964760808219479,1.0001929956280196,1.0001929956280196,1,28,[29],300,300,hilbert
Class1,P1,Class1_example_0012,1.0,0.015834181303336914,1.0001253527921121,1.0001253527921121,1,29,[28],300,300,hilbert
Class1,P1,Class1_example_0013,3.0,0.027423609339506605,3.000125339773191,3.000125339773191,1,38,[35],300,300,hilbert
Class1,P1,Class1_example_0014,2.0,0.024132976589936628,2.0001455948403084,2.0001455948403084,1,35,[33],300,300,hilbert
Class1,P1,Class1_example_0015,2.0,0.0291290061842292,2.0002121135022857,2.0002121135022857,1,32,[30],300,300,hilbert
Class1,P1,Class1_example_0016,3.0,0.04151607391023082,3.000287250313363,3.000287250313363,1,33,[30],300,300,hilbert
Class1,P1,Class1_example_0017,1.0,0.01682742034470186,1.0001415710165522,1.0001415710165522,1,32,[31],300,300,hilbert
Class1,P1,Class1_example_0018,1.0,0.01747200745056532,1.0001526238751526,1.0001526238751526,1,30,[29],300,300,hilbert
Class1,P1,Class1_example_0019,1.0,0.02204819991146978,1.000243032027385,1.000243032027385,1,25,[26],300,300,hilbert
Class1,P1,Class1_example_0020,2.0,0.04453625101435077,2.0004958079572206,2.0004958079572206,1,21,[23],300,300,hilbert
Class1,P1,Class1_example_0021,2.0,0.04074591797513716,2.0004150143986714,2.0004150143986714,1,21,[23],300,300,hilbert
Class1,P1,Class1_example_0022,1.0,0.021607163520078965,1.000233407518157,1.000233407518157,1,22,[23],300,300,hilbert
Class1,P1,Class1_example_0023,1.0,0.01582031885057933,1.0001251334150811,1.0001251334150811,1,37,[36],300,300,hilbert
Class1,P1,Class1_example_0024,2.0,0.026157303027135814,2.000171043811417,2.000171043811417,1,44,[42],300,300,hilbert
Class1,P1,Class1_example_0025,2.0,0.024048794407887986,2.0001445809022087,2.0001445809022087,1,38,[36],300,300,hilbert
Class1,P1,Class1_example_0026,2.0,0.029819810780339684,2.0002222929252076,2.0002222929252076,1,39,[37],300,300,hilbert
Class1,P1,Class1_example_0027,0.0,0.0,0.0,0.0,1,31,[31],300,300,hilbert
Class1,P1,Class1_example_0028,0.0,0.0,0.0,0.0,1,31,[31],300,300,hilbert
