Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,modified_scholkmann1,1.73046875,0.006569676610752988,1.7304876575085244,1.7304876575085244,0.8533333333333334,300.0,256.0
Class1,P2,modified_scholkmann1,11.794871794871796,0.041109839257699426,11.7949702192018,11.7949702192018,0.13,300.0,39.0
Class1,P3,modified_scholkmann1,2.4285714285714284,0.003561831479524969,2.428577220814852,2.428577220814852,0.7466666666666667,300.0,224.0
Class2,P1,modified_scholkmann1,3.4074074074074074,0.008815255682890162,3.407426594733161,3.407426594733161,0.09,300.0,27.0
Class2,P2,modified_scholkmann1,2.5806451612903225,0.005807774051590097,2.5806560861481294,2.5806560861481294,0.41333333333333333,300.0,124.0
Class2,P3,modified_scholkmann1,1.6415094339622642,0.0018492450375037657,1.641510795851312,1.641510795851312,0.17666666666666667,300.0,53.0
Class3,P1,modified_scholkmann1,,,,,0.0,300.0,0.0
Class3,P2,modified_scholkmann1,2.35195530726257,0.004874905333300765,2.351963174002767,2.351963174002767,0.5966666666666667,300.0,179.0
Class3,P3,modified_scholkmann1,1.6041666666666667,0.0013398576663870229,1.604167556146695,1.604167556146695,0.32,300.0,96.0
Class4,P1,modified_scholkmann1,,,,,0.47,100.0,47.0
Class4,P2,modified_scholkmann1,,,,,0.0,100.0,0.0
Class4,P3,modified_scholkmann1,,,,,0.0,100.0,0.0
