Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,curvature,63.93924603174603,0.4207794398556596,63.94090512881826,2.480287080424975,4.943333333333333,300.0,300.0
Class1,P2,curvature,49.17313492063492,0.26653003420226457,49.17397518700878,2.9034487564632308,4.943333333333333,300.0,300.0
Class1,P3,curvature,44.69738888888889,0.24669038566975734,44.69819695037935,2.0800065719956207,4.943333333333333,300.0,300.0
Class2,P1,curvature,63.65072222222222,0.32291362433038545,63.65182375577697,3.707259588007713,5.04,300.0,300.0
Class2,P2,curvature,48.675912698412695,0.3340117753665773,48.67721875109593,1.98670288060954,5.04,300.0,300.0
Class2,P3,curvature,43.630071428571426,0.27411920993844474,43.63119140911645,3.056688118713859,5.04,300.0,300.0
Class3,P1,curvature,66.29722222222223,0.26773936647541713,66.298217841843,2.3603708447587417,5.233333333333333,300.0,300.0
Class3,P2,curvature,48.37892063492063,0.37109564658248567,48.3805450767132,2.5000445228703523,5.233333333333333,300.0,300.0
Class3,P3,curvature,43.673698412698414,0.3356908021408766,43.67515134834943,3.170031974839965,5.233333333333333,300.0,300.0
Class4,P1,curvature,,,,,4.59,100.0,100.0
Class4,P2,curvature,44.766690476190476,0.4147710428989585,44.768797431593924,3.0700621813328923,4.59,100.0,100.0
Class4,P3,curvature,,,,,4.59,100.0,100.0
