Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave_tuned,0.029166666666666667,3.3886484741500283e-05,0.029166697144033905,0.029166697144033905,0.96,250.0,240.0
Class1,P2,concave_tuned,15.70075075075075,0.055523167515839585,15.700913255975928,11.783921146383257,0.812,250.0,111.0
Class1,P3,concave_tuned,9.720767195767195,0.039098458405495785,9.720887668087473,0.9444478900618472,2.068,250.0,234.0
Class2,P1,concave_tuned,5.951156069364162,0.00943700262389363,5.951168543921945,3.2890257737372854,1.004,250.0,173.0
Class2,P2,concave_tuned,8.283333333333333,0.014262929066251756,8.283353181696787,1.8852563620213743,1.736,250.0,244.0
Class2,P3,concave_tuned,15.172366522366522,0.11012862179839812,15.172876839894274,9.863941519046474,1.056,250.0,132.0
Class3,P1,concave_tuned,2.9761904761904763,0.008934266094898483,2.976212793759266,2.857165254258826,0.092,250.0,21.0
Class3,P2,concave_tuned,2.1734417344173442,0.005018193187744131,2.1734509572905245,1.0243986033914378,1.152,250.0,246.0
Class3,P3,concave_tuned,5.563202247191011,0.01266836810382386,5.563228113319144,3.8932672627255176,0.96,250.0,178.0
Class4,P1,concave_tuned,,,,,0.0,50.0,0.0
Class4,P2,concave_tuned,0.0,0.0,0.0,0.0,0.42,50.0,21.0
Class4,P3,concave_tuned,,,,,0.0,50.0,0.0
