Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave,3.1458333333333335,0.02299641850842072,3.145930463238739,3.145930463238739,0.96,250.0,240.0
Class1,P2,concave,23.942622950819672,0.06677141315809586,23.942769822371204,23.942769822371204,0.488,250.0,122.0
Class1,P3,concave,3.797979797979798,0.011920203108240952,3.7980084790175495,3.7980084790175495,0.396,250.0,99.0
Class2,P1,concave,5.830845771144278,0.03737836557166527,5.830985285107327,5.830985285107327,0.804,250.0,201.0
Class2,P2,concave,10.335329341317365,0.0364421180783553,10.33542985804527,10.33542985804527,0.668,250.0,167.0
Class2,P3,concave,3.6122448979591835,0.009307731593718695,3.612259734421052,3.612259734421052,0.196,250.0,49.0
Class3,P1,concave,23.387096774193548,0.28805062612612425,23.38896003738785,23.38896003738785,0.372,250.0,93.0
Class3,P2,concave,3.673202614379085,0.008179531076176588,3.673219579266489,3.673219579266489,0.612,250.0,153.0
Class3,P3,concave,5.45,0.04111311119362625,5.450197751545428,5.450197751545428,0.16,250.0,40.0
Class4,P1,concave,,,,,0.52,50.0,26.0
Class4,P2,concave,,,,,0.0,50.0,0.0
Class4,P3,concave,,,,,0.0,50.0,0.0
