Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,3.0,0.04283601004478854,3.0003058050399725,3.0003058050399725,1,39,[36],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0002,4.0,0.04661645346119181,4.000271627493976,4.000271627493976,1,40,[36],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0003,4.0,0.04421552067488099,4.000244369069039,4.000244369069039,1,40,[36],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0004,5.0,0.050840513307841895,5.000258469098713,5.000258469098713,1,42,[37],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0005,4.0,0.042458530265915284,4.000225334502088,4.000225334502088,1,39,[35],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0006,4.0,0.04419270001232878,4.000244116892666,4.000244116892666,1,41,[37],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0007,4.0,0.03866495883718102,4.000186868015278,4.000186868015278,1,42,[38],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0008,3.0,0.044365553367178956,3.000328032453381,3.000328032453381,1,38,[35],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0009,3.0,0.036325199906168004,3.000219911964492,3.000219911964492,1,38,[35],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0010,4.0,0.05136025247186282,4.000329720852267,4.000329720852267,1,41,[37],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0011,2.0,0.030042345508167978,2.0002256229044844,2.0002256229044844,1,35,[33],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0012,4.0,0.046438405078398914,4.000269556600683,4.000269556600683,1,36,[32],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0013,3.0,0.027805782638656074,3.0001288574906493,3.0001288574906493,1,36,[33],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0014,2.0,0.017625763119499482,2.0000776653734085,2.0000776653734085,1,41,[39],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0015,2.0,0.03826313693761718,2.00036598342611,2.00036598342611,1,23,[25],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0016,1.0,0.010653487583041077,1.000056746788742,1.000056746788742,1,29,[28],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0017,2.0,0.036287740020708004,2.000329172930248,2.000329172930248,1,27,[29],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0018,1.0,0.013421767302925991,1.000090067862657,1.000090067862657,1,28,[29],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0019,0.0,0.0,0.0,0.0,1,28,[28],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0020,2.0,0.023376242611646614,2.000136607514256,2.000136607514256,1,37,[35],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0021,0.0,0.0,0.0,0.0,1,37,[37],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0022,1.0,0.008232034860793602,1.0000338826249586,1.0000338826249586,1,41,[40],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0023,7.0,0.04055874574686791,7.000117499860739,7.000117499860739,1,45,[38],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0024,2.0,0.014436669984446038,2.0000521036813614,2.0000521036813614,1,46,[44],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0025,0.0,0.0,0.0,0.0,1,43,[43],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0026,0.0,0.0,0.0,0.0,1,41,[41],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0027,1.0,0.00915113130120282,1.000041870725467,1.000041870725467,1,44,[43],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0028,2.0,0.022511082573575814,2.0001266831975006,2.0001266831975006,1,45,[43],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0029,3.0,0.02519864862511112,3.000105826782204,3.000105826782204,1,58,[61],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0030,1.0,0.01764348486894729,1.0001556341681632,1.0001556341681632,1,28,[29],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0031,0.0,0.0,0.0,0.0,1,27,[27],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0032,2.0,0.021567554294999902,2.0001162864689315,2.0001162864689315,1,34,[32],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0033,1.0,0.0064431588003257545,1.0000207569322381,1.0000207569322381,1,34,[33],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0034,1.0,0.013977680667528691,1.0000976830074366,1.0000976830074366,1,31,[30],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0035,2.0,0.023134330780816614,2.0001337948399045,2.0001337948399045,1,39,[37],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0036,2.0,0.02507372517704476,2.0001571667482168,2.0001571667482168,1,40,[38],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0037,2.0,0.024887801208594018,2.0001548446680317,2.0001548446680317,1,39,[37],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0038,3.0,0.04248763840541869,3.0003008514842757,3.0003008514842757,1,38,[35],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0039,0.0,0.0,0.0,0.0,1,29,[29],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0040,1.0,0.017901015904521533,1.0001602103515286,1.0001602103515286,1,29,[28],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0041,1.0,0.01501242510960421,1.0001126801054327,1.0001126801054327,1,33,[32],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0042,1.0,0.01124615653944494,1.0000632360190578,1.0000632360190578,1,43,[42],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0043,2.0,0.033604012952408335,2.0002822875000685,2.0002822875000685,1,35,[33],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0044,1.0,0.015379932721283351,1.0001182641720485,1.0001182641720485,1,28,[27],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0045,0.0,0.0,0.0,0.0,1,30,[30],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0046,1.0,0.01846185513662557,1.0001704055285208,1.0001704055285208,1,29,[28],250,248,line_perpendicular_10
Class1,P1,Class1_it2_example_0047,1.0,0.015976042415147385,1.0001276088236193,1.0001276088236193,1,29,[28],250,248,line_perpendicular_10
