Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave_d2x=0-002,30.52166666666667,0.13914250034011655,30.52211107626384,5.532124061063066,1.984,250.0,250.0
Class1,P2,concave_d2x=0-002,28.07033333333333,0.16131914182802135,28.071048380722495,20.16491031411372,1.984,250.0,250.0
Class1,P3,concave_d2x=0-002,33.193,0.16607987286348636,33.19351848961002,9.148213969238595,1.984,250.0,250.0
Class2,P1,concave_d2x=0-002,29.26750700280112,0.10017524926844053,29.267869929430816,11.02546775948769,1.996,250.0,238.0
Class2,P2,concave_d2x=0-002,20.17997198879552,0.07567829289116006,20.180235580145748,8.332057940878588,1.996,250.0,238.0
Class2,P3,concave_d2x=0-002,33.838935574229694,0.13483375577395493,33.83934908870205,15.941535815612552,1.996,250.0,238.0
Class3,P1,concave_d2x=0-002,38.06586021505377,0.363046187392719,38.067943531325575,31.671519964960527,1.308,250.0,248.0
Class3,P2,concave_d2x=0-002,9.05241935483871,0.044179856098841945,9.052573769222716,3.4798686671656633,1.308,250.0,248.0
Class3,P3,concave_d2x=0-002,23.364247311827956,0.1421049142306376,23.364822859237048,18.254511196865792,1.308,250.0,248.0
Class4,P1,concave_d2x=0-002,,,,,0.98,50.0,49.0
Class4,P2,concave_d2x=0-002,1.2040816326530612,0.0013321320410816918,1.2040825834808275,1.2040825834808275,0.98,50.0,49.0
Class4,P3,concave_d2x=0-002,,,,,0.98,50.0,49.0
