Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,modified_scholkmann1,34.188435374149655,0.11815217400487588,34.188725631331494,16.073533680508937,1.572,250.0,245.0
Class1,P2,modified_scholkmann1,29.36530612244898,0.15129470139247958,29.365986103271535,24.000979326668944,1.572,250.0,245.0
Class1,P3,modified_scholkmann1,30.354421768707482,0.171698811929712,30.35498379031024,14.151299964226249,1.572,250.0,245.0
Class2,P1,modified_scholkmann1,39.81659693165969,0.08918481276593744,39.8167596913423,36.68215575192968,1.08,250.0,239.0
Class2,P2,modified_scholkmann1,15.271269177126918,0.039271236446881914,15.271359423773605,13.041898144254894,1.08,250.0,239.0
Class2,P3,modified_scholkmann1,21.900278940027896,0.13582597027727106,21.90081100245537,19.276645551603266,1.08,250.0,239.0
Class3,P1,modified_scholkmann1,39.40562248995984,0.3721768027075098,39.407638146092474,39.407638146092474,0.996,250.0,249.0
Class3,P2,modified_scholkmann1,7.883534136546185,0.011533860348470966,7.883550650809286,7.883550650809286,0.996,250.0,249.0
Class3,P3,modified_scholkmann1,18.068273092369477,0.12249873558787569,18.068791139107898,18.068791139107898,0.996,250.0,249.0
Class4,P1,modified_scholkmann1,,,,,1.0,50.0,50.0
Class4,P2,modified_scholkmann1,1.72,0.0012959235647580902,1.7200007818835925,1.7200007818835925,1.0,50.0,50.0
Class4,P3,modified_scholkmann1,,,,,1.0,50.0,50.0
