Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave_tuned,1.2365591397849462,0.005632118697300949,1.236576232597923,1.236576232597923,0.744,250.0,186.0
Class1,P2,concave_tuned,3.9210526315789473,0.007358362059399627,3.9210604153757878,3.9210604153757878,0.152,250.0,38.0
Class1,P3,concave_tuned,1.7055555555555555,0.002071627852349615,1.7055572467315487,1.7055572467315487,0.72,250.0,180.0
Class2,P1,concave_tuned,2.2519083969465647,0.012213767967079858,2.251950561136261,2.251950561136261,0.524,250.0,131.0
Class2,P2,concave_tuned,2.9220779220779223,0.007766013870981606,2.9220941114930916,2.9220941114930916,0.616,250.0,154.0
Class2,P3,concave_tuned,2.142857142857143,0.0021880050533953656,2.142858528693025,2.142858528693025,0.168,250.0,42.0
Class3,P1,concave_tuned,3.6,0.008600612107079963,3.600011108328553,3.600011108328553,0.02,250.0,5.0
Class3,P2,concave_tuned,1.6082474226804124,0.0027384638689791335,1.6082505712850523,1.6082505712850523,0.776,250.0,194.0
Class3,P3,concave_tuned,1.5125,0.0015768497422375947,1.5125011048975137,1.5125011048975137,0.32,250.0,80.0
Class4,P1,concave_tuned,,,,,0.5,50.0,25.0
Class4,P2,concave_tuned,,,,,0.0,50.0,0.0
Class4,P3,concave_tuned,,,,,0.0,50.0,0.0
