Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,modified_scholkmann0-5,1.7912087912087913,0.005942243550634787,1.7912229676426465,1.7912229676426465,0.728,250.0,182.0
Class1,P2,modified_scholkmann0-5,28.980392156862745,0.07446617726465207,28.980545984873803,27.62105449783807,0.668,250.0,153.0
Class1,P3,modified_scholkmann0-5,4.242718446601942,0.01030071788842637,4.242738760220904,2.703888534582756,0.908,250.0,206.0
Class2,P1,modified_scholkmann0-5,11.9375,0.02708417630692879,11.937550029668488,11.625050339278323,0.296,250.0,72.0
Class2,P2,modified_scholkmann0-5,8.432735426008968,0.016560195173006644,8.432760412608403,7.878948087540422,0.924,250.0,223.0
Class2,P3,modified_scholkmann0-5,15.207843137254903,0.0969307594192422,15.208228001332479,12.835647954205193,0.772,250.0,170.0
Class3,P1,modified_scholkmann0-5,,,,,0.0,250.0,0.0
Class3,P2,modified_scholkmann0-5,4.261904761904762,0.006798801435343301,4.261914709802695,4.261914709802695,0.84,250.0,210.0
Class3,P3,modified_scholkmann0-5,18.65236051502146,0.12224598792454694,18.65287576484552,18.65287576484552,0.932,250.0,233.0
Class4,P1,modified_scholkmann0-5,,,,,0.0,50.0,0.0
Class4,P2,modified_scholkmann0-5,1.5609756097560976,0.001246844586659533,1.560976510783353,1.560976510783353,0.82,50.0,41.0
Class4,P3,modified_scholkmann0-5,,,,,0.0,50.0,0.0
