Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,2.0,0.0018303641178525343,2.0000008375580256,2.0000008375580256,1,39,[41],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0002,1.0,0.00022811407552203455,1.0000000260180153,1.0000000260180153,1,40,[41],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0003,,,,,0,40,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0004,,,,,0,42,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0005,,,,,0,39,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0006,,,,,0,41,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0007,,,,,0,42,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0008,,,,,0,38,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0009,,,,,0,38,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0010,,,,,0,41,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0011,,,,,0,35,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0012,,,,,0,36,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0013,1.0,0.0022281690630642226,1.0000024823656057,1.0000024823656057,1,36,[37],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0014,0.0,0.0,0.0,0.0,1,41,[41],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0015,,,,,0,23,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0016,1.0,0.001688854148659269,1.000001426113151,1.000001426113151,1,29,[30],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0017,3.0,0.025520851038461245,3.000108550342425,3.000108550342425,1,27,[30],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0018,2.0,0.00930521149127106,2.0000216466230802,2.0000216466230802,1,28,[30],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0019,2.0,0.007784150846942062,2.000015148193735,2.000015148193735,1,28,[30],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0020,1.0,0.000773589676907438,1.0000002992204493,1.0000002992204493,1,37,[38],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0021,2.0,0.005096081835461397,2.0000064925019805,2.0000064925019805,1,37,[39],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0022,1.0,0.0007853592678487287,1.0000003083945421,1.0000003083945421,1,41,[42],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0023,0.0,0.0,0.0,0.0,1,45,[45],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0024,0.0,0.0,0.0,0.0,1,46,[46],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0025,,,,,0,43,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0026,1.0,0.0028713665749056094,1.0000041223645069,1.0000041223645069,1,41,[42],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0027,,,,,0,44,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0028,,,,,0,45,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0029,,,,,0,58,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0030,3.0,0.012982854002957178,3.0000280922848144,3.0000280922848144,1,28,[31],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0031,,,,,0,27,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0032,1.0,0.00045185323661522947,1.0000001020856686,1.0000001020856686,1,34,[35],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0033,0.0,0.0,0.0,0.0,1,34,[34],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0034,2.0,0.0026547433291093103,2.00000176191476,2.00000176191476,1,31,[33],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0035,1.0,0.0007225783431685784,1.000000261059697,1.000000261059697,1,39,[40],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0036,1.0,0.0016054163784929854,1.0000012886800438,1.0000012886800438,1,40,[41],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0037,,,,,0,39,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0038,1.0,0.0015356905737820004,1.000001179172074,1.000001179172074,1,38,[39],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0039,2.0,0.010213358872379175,2.0000260780048484,2.0000260780048484,1,29,[31],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0040,2.0,0.007985155369032881,2.000015940613041,2.000015940613041,1,29,[31],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0041,2.0,0.004499786018961394,2.000005062012148,2.000005062012148,1,33,[35],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0042,2.0,0.005196812193928868,2.0000067517028484,2.0000067517028484,1,43,[45],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0043,,,,,0,35,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0044,2.0,0.0025544962924353154,2.000001631362162,2.000001631362162,1,28,[30],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0045,2.0,0.010170129609539669,2.0000258577169134,2.0000258577169134,1,30,[32],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0046,2.0,0.006663854293113447,2.000011101707698,2.000011101707698,1,29,[31],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0047,2.0,0.0035177022539557568,2.0000030935548945,2.0000030935548945,1,29,[31],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0048,3.0,0.009855324403917454,3.00001618785951,3.00001618785951,1,30,[33],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0049,4.0,0.015588997727770892,4.0000303769909245,4.0000303769909245,1,30,[34],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0050,,,,,0,61,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0051,3.0,0.015953780610140522,3.0000424202193803,3.0000424202193803,1,30,[33],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0052,2.0,0.0002738930845009868,2.0000000187543554,2.0000000187543554,1,37,[39],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0053,,,,,0,36,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0054,2.0,0.0029005513041219233,2.0000021032983613,2.0000021032983613,1,35,[37],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0055,,,,,0,67,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0056,3.0,0.011085502206435782,3.0000204813232805,3.0000204813232805,1,30,[33],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0057,,,,,0,33,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0058,1.0,0.00013801990174666656,1.0000000095247465,1.0000000095247465,1,45,[46],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0059,2.0,0.0027808616514833906,2.0000019332969465,2.0000019332969465,1,33,[35],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0060,5.0,0.011210339655670643,5.000012567155726,5.000012567155726,1,28,[33],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0061,2.0,0.0027398970750711626,2.000001876758115,2.000001876758115,1,41,[43],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0062,3.0,0.006779785792613735,3.0000076609061175,3.0000076609061175,1,31,[34],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0063,0.0,0.0,0.0,0.0,1,46,[46],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0064,1.0,0.0015790662648551557,1.000001246724357,1.000001246724357,1,40,[41],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0065,2.0,0.009059613263912913,2.0000205190428653,2.0000205190428653,1,42,[44],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0066,,,,,0,42,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0067,0.0,0.0,0.0,0.0,1,43,[43],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0068,,,,,0,22,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0069,3.0,0.015922255781589456,3.0000422527406467,3.0000422527406467,1,24,[27],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0070,2.0,0.0027767485013102666,2.000001927582131,2.000001927582131,1,33,[35],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0071,,,,,0,24,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0072,,,,,0,25,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0073,,,,,0,25,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0074,1.0,0.003494957080700467,1.0000061073438482,1.0000061073438482,1,31,[32],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0075,,,,,0,38,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0076,,,,,0,27,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0077,,,,,0,32,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0078,,,,,0,31,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0079,0.0,0.0,0.0,0.0,1,36,[36],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0080,1.0,0.0012556853859806427,1.0000007883725834,1.0000007883725834,1,37,[38],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0081,,,,,0,28,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0082,1.0,0.001950553442927827,1.0000019023275575,1.0000019023275575,1,37,[36],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0083,,,,,0,26,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0084,1.0,0.0018238417395802786,1.0000016631979625,1.0000016631979625,1,33,[34],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0085,,,,,0,24,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0086,,,,,0,32,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0087,,,,,0,29,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0088,,,,,0,31,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0089,,,,,0,29,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0090,,,,,0,33,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0091,,,,,0,32,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0092,,,,,0,31,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0093,1.0,0.0029283491077151114,1.0000042876050566,1.0000042876050566,1,31,[32],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0094,,,,,0,35,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0095,,,,,0,35,[],250,153,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0096,,,,,0,35,[],250,153,modified_scholkmann0-5
