Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,modified_scholkmann1,0.5698324022346368,0.0006886877901985497,0.5698329721461288,0.5698329721461288,0.716,250.0,179.0
Class1,P2,modified_scholkmann1,17.70175438596491,0.042484218805570746,17.701840043503093,17.210588489368213,0.236,250.0,57.0
Class1,P3,modified_scholkmann1,4.022251308900524,0.01189311558752467,4.022277150323727,2.0418877081895164,0.868,250.0,191.0
Class2,P1,modified_scholkmann1,6.407407407407407,0.012956482231392686,6.407432489041537,5.740764594722504,0.116,250.0,27.0
Class2,P2,modified_scholkmann1,5.049738219895288,0.009871642764891728,5.049752822940286,4.8010616544208276,0.776,250.0,191.0
Class2,P3,modified_scholkmann1,16.21186440677966,0.10906593929789489,16.21231485407986,15.119073934970366,0.752,250.0,177.0
Class3,P1,modified_scholkmann1,,,,,0.0,250.0,0.0
Class3,P2,modified_scholkmann1,2.8208955223880596,0.004762108421264778,2.8209028586262543,2.8209028586262543,0.804,250.0,201.0
Class3,P3,modified_scholkmann1,18.506382978723405,0.12130218323011753,18.506887084378995,18.506887084378995,0.94,250.0,235.0
Class4,P1,modified_scholkmann1,,,,,0.0,50.0,0.0
Class4,P2,modified_scholkmann1,0.8260869565217391,0.0007765023349917182,0.8260874540202269,0.8260874540202269,0.46,50.0,23.0
Class4,P3,modified_scholkmann1,,,,,0.0,50.0,0.0
