Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,modified_scholkmann0-5,3.55078125,0.019054726807006785,3.55084001270112,3.55084001270112,0.8533333333333334,300.0,256.0
Class1,P2,modified_scholkmann0-5,1.4,0.002177479235766405,1.4000025049220988,1.4000025049220988,0.03333333333333333,300.0,10.0
Class1,P3,modified_scholkmann0-5,3.12751677852349,0.0036785292881163062,3.1275213675164086,3.1275213675164086,0.49666666666666665,300.0,149.0
Class2,P1,modified_scholkmann0-5,5.0,0.023408942204937166,5.00006405543363,5.00006405543363,0.05333333333333334,300.0,16.0
Class2,P2,modified_scholkmann0-5,2.9754098360655736,0.007934464340412058,2.975424619589822,2.975424619589822,0.4066666666666667,300.0,122.0
Class2,P3,modified_scholkmann0-5,3.09375,0.0045155426446499836,3.0937558076699574,3.0937558076699574,0.21333333333333335,300.0,64.0
Class3,P1,modified_scholkmann0-5,,,,,0.0,300.0,0.0
Class3,P2,modified_scholkmann0-5,1.9065420560747663,0.00167870126765982,1.9065433632995923,1.9065433632995923,0.3566666666666667,300.0,107.0
Class3,P3,modified_scholkmann0-5,4.366666666666666,0.017421130236100025,4.366711889436385,4.366711889436385,0.4,300.0,120.0
Class4,P1,modified_scholkmann0-5,,,,,0.41,100.0,41.0
Class4,P2,modified_scholkmann0-5,4.157894736842105,0.002031567593366996,4.157895497450162,4.157895497450162,0.19,100.0,19.0
Class4,P3,modified_scholkmann0-5,,,,,0.01,100.0,1.0
