Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,1.0,0.0013924536881722016,1.0000009694631669,1.0000009694631669,1,39,[40],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0002,0.0,0.0,0.0,0.0,1,40,[40],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0003,1.0,0.0011307381540951456,1.0000006392841823,1.0000006392841823,1,40,[41],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0004,1.0,0.0014298222398717586,1.0000010221952964,1.0000010221952964,1,42,[43],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0005,1.0,0.0012147365434596047,1.000000737792163,1.000000737792163,1,39,[40],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0006,30.5,0.1309901417938908,30.50028337843265,1.0000010142921645,2,41,"[42, 101]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0007,32.5,0.16537711489710377,32.50042464074538,1.000000695121799,2,42,"[43, 106]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0008,33.0,0.10954484683296335,33.00018537269769,1.0000000506523123,3,38,"[39, 72, 102]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0009,33.666666666666664,0.11602444109391907,33.66686749828177,0.0,3,38,"[38, 72, 105]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0010,1.0,0.0004129061399520406,1.0000000852457367,1.0000000852457367,1,41,[42],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0011,32.0,0.1176247147629117,32.000219582360785,2.000002078721138,3,35,"[37, 66, 98]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0012,1.0,0.0014584721811472523,1.000001063569986,1.000001063569986,1,36,[37],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0013,23.5,0.12262385268727083,23.500319925678628,0.0,2,36,"[36, 83]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0014,1.0,0.000557610122647545,1.0000001554645124,1.0000001554645124,1,41,[42],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0015,26.0,0.09341125422995156,26.000167800658843,0.0,2,23,"[23, 75]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0016,25.5,0.04946391547847734,25.500047974051625,0.0,2,29,"[29, 80]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0017,64.0,0.47037680062762155,64.00172852614661,64.00172852614661,1,27,[91],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0018,31.5,0.19196696902804833,31.500584936111867,0.0,2,28,"[28, 91]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0019,28.5,0.035813254955249896,28.500022501556565,0.0,2,28,"[28, 85]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0020,35.0,0.20622533644185503,35.000614125039405,1.000000320468983,2,37,"[38, 106]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0021,48.0,0.37279091053394,48.00147516661707,1.0000000186180258,3,37,"[38, 90, 127]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0022,43.0,0.19892425619836718,43.00046012381384,0.0,2,41,"[41, 127]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0023,37.0,0.13322588556387582,37.00023985241967,0.0,2,45,"[45, 119]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0024,44.5,0.2311627051200139,44.500600402648935,0.0,2,46,"[46, 135]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0025,47.0,0.26067285898197223,47.00072287039222,0.0,2,43,"[43, 137]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0026,46.0,0.14878329234965426,46.00024061315421,0.0,2,41,"[41, 133]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0027,43.5,0.15224652438638825,43.50026642451961,0.0,2,44,"[44, 131]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0028,42.0,0.2149500202988421,42.00055781032217,0.0,3,45,"[45, 89, 127]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0029,1.0,0.00036782851836003605,1.0000000676489071,1.0000000676489071,1,58,[59],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0030,37.0,0.1798365270725263,37.000437040344124,0.0,2,28,"[28, 102]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0031,33.0,0.14603751877338123,33.000323134128394,0.0,2,27,"[27, 93]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0032,29.5,0.14577996888898231,29.500360197789607,0.0,2,34,"[34, 93]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0033,34.5,0.17978420035874748,34.50046843680095,0.0,2,34,"[34, 103]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0034,30.0,0.08671848780509678,30.000127448881273,1.0000000000236653,2,31,"[32, 90]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0035,1.0,0.0009656585355057867,1.0000004662480948,1.0000004662480948,1,39,[40],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0036,35.666666666666664,0.22686090858502042,35.66738894101709,0.0,3,40,"[40, 75, 112]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0037,36.666666666666664,0.2804212051162513,36.66774881386721,1.0000004214840892,3,39,"[40, 75, 112]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0038,36.0,0.18231090970289432,36.00049312388887,0.0,3,38,"[38, 74, 110]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0039,30.5,0.10847783451377407,30.500192908251922,0.0,2,29,"[29, 90]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0040,27.0,0.09605200522937968,27.000171394667916,1.0000021979157905,2,29,"[30, 82]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0041,29.0,0.09153186795086621,29.00014556929857,2.0000018482532353,3,33,"[35, 65, 86]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0042,31.5,0.161324826479256,31.50041976650701,1.0,2,43,"[44, 105]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0043,29.333333333333332,0.10714588681984649,29.33353525766262,1.0000028783508033,3,35,"[36, 63, 94]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0044,28.5,0.09302306318805309,28.5001522144067,1.0000020119509183,2,28,"[29, 84]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0045,35.0,0.17654817560348646,35.000449077102175,1.0000006855830532,2,30,"[31, 99]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0046,32.0,0.12517897752088497,32.0002448393198,0.0,2,29,"[29, 93]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0047,29.666666666666668,0.075563037473237,29.66676612330606,0.0,3,29,"[29, 58, 89]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0048,31.5,0.16046332184731604,31.500411377175496,1.000001710731437,2,30,"[31, 92]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0049,56.5,0.32199337956702423,56.50095749574544,1.000002722349199,4,30,"[31, 58, 91, 166]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0050,0.0,0.0,0.0,0.0,1,61,[61],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0051,30.0,0.1495787868729663,30.00037388181465,0.0,3,30,"[30, 61, 89]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0052,32.5,0.17622861866814615,32.50048010986003,1.0000028779698742,2,37,"[38, 101]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0053,31.0,0.08463762151000459,31.000116124438183,1.0000007373266724,2,36,"[37, 97]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0054,32.333333333333336,0.10393848749780792,32.33350153658153,1.0000003581134151,3,35,"[36, 67, 99]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0055,30.5,0.10211714625402141,30.500170948890748,0.0,2,67,"[67, 128]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0056,27.5,0.16708575791437158,27.50051212088084,1.0000017242138635,2,30,"[31, 84]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0057,1.0,0.001100416351703215,1.0000006054578903,1.0000006054578903,1,33,[34],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0058,0.0,0.0,0.0,0.0,1,45,[45],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0059,31.5,0.10187243273984453,31.500164729609786,0.0,2,33,"[33, 96]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0060,23.0,0.11479940142724049,23.00029073439374,1.0000004221062284,2,28,"[29, 73]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0061,1.0,0.0006537131430334187,1.0000002136704138,1.0000002136704138,1,41,[42],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0062,28.0,0.09793099615301504,28.000172323204534,1.0000009683121573,3,31,"[32, 58, 87]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0063,0.0,0.0,0.0,0.0,1,46,[46],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0064,0.0,0.0,0.0,0.0,1,40,[40],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0065,0.0,0.0,0.0,0.0,1,42,[42],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0066,0.0,0.0,0.0,0.0,1,42,[42],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0067,33.0,0.1090881669592682,33.00018030599485,0.0,2,43,"[43, 109]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0068,65.0,0.19122252285957086,65.0002812767241,65.0002812767241,1,22,[87],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0069,68.0,0.13396725240609597,68.00013196475957,68.00013196475957,1,24,[92],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0070,27.666666666666668,0.10254850044354132,27.666856854723225,0.0,3,33,"[33, 60, 89]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0071,27.333333333333332,0.11544154558273749,27.33360236303516,0.0,3,24,"[24, 50, 80]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0072,54.25,0.20686749324573944,54.250473349900986,0.0,4,25,"[25, 57, 88, 147]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0073,54.0,0.11267687015488692,54.00011755614119,54.00011755614119,1,25,[79],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0074,29.5,0.22799944063627947,29.50088106726527,0.0,2,31,"[31, 90]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0075,33.5,0.3405926591923668,33.50173134868549,0.0,2,38,"[38, 105]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0076,66.0,0.21577616184043025,66.00035272142125,66.00035272142125,1,27,[93],250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0077,63.2,0.4619063113587279,63.201799803679364,0.0,5,32,"[32, 62, 98, 130, 154]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0078,33.0,0.054578684712137226,33.000045133799816,0.0,2,31,"[31, 97]",250,249,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0079,33.0,0.14347094335546806,33.00031187597455,0.0,2,36,"[36, 102]",250,249,modified_scholkmann0-5
