Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,,,,,0,39,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0002,,,,,0,40,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0003,4.0,0.044215520674884545,4.000244369069039,4.000244369069039,1,40,[36],250,75,line_distance_8
Class1,P1,Class1_it2_example_0004,5.0,0.05084051330784145,5.000258469098713,5.000258469098713,1,42,[37],250,75,line_distance_8
Class1,P1,Class1_it2_example_0005,4.0,0.04245853026592439,4.000225334502088,4.000225334502088,1,39,[35],250,75,line_distance_8
Class1,P1,Class1_it2_example_0006,4.0,0.04419270001232389,4.000244116892665,4.000244116892665,1,41,[37],250,75,line_distance_8
Class1,P1,Class1_it2_example_0007,4.0,0.038664958837178354,4.000186868015278,4.000186868015278,1,42,[38],250,75,line_distance_8
Class1,P1,Class1_it2_example_0008,,,,,0,38,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0009,3.0,0.03632519990616623,3.000219911964492,3.000219911964492,1,38,[35],250,75,line_distance_8
Class1,P1,Class1_it2_example_0010,4.0,0.05136025247185505,4.000329720852267,4.000329720852267,1,41,[37],250,75,line_distance_8
Class1,P1,Class1_it2_example_0011,2.0,0.03004234550817131,2.0002256229044844,2.0002256229044844,1,35,[33],250,75,line_distance_8
Class1,P1,Class1_it2_example_0012,4.0,0.04643840507840602,4.000269556600683,4.000269556600683,1,36,[32],250,75,line_distance_8
Class1,P1,Class1_it2_example_0013,3.0,0.02780578263864808,3.0001288574906493,3.0001288574906493,1,36,[33],250,75,line_distance_8
Class1,P1,Class1_it2_example_0014,2.0,0.017625763119504367,2.0000776653734085,2.0000776653734085,1,41,[39],250,75,line_distance_8
Class1,P1,Class1_it2_example_0015,,,,,0,23,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0016,,,,,0,29,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0017,,,,,0,27,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0018,,,,,0,28,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0019,,,,,0,28,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0020,,,,,0,37,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0021,0.0,0.0,0.0,0.0,1,37,[37],250,75,line_distance_8
Class1,P1,Class1_it2_example_0022,1.0,0.008232034860794268,1.0000338826249586,1.0000338826249586,1,41,[40],250,75,line_distance_8
Class1,P1,Class1_it2_example_0023,7.0,0.04055874574685259,7.000117499860739,7.000117499860739,1,45,[38],250,75,line_distance_8
Class1,P1,Class1_it2_example_0024,2.0,0.014436669984444261,2.0000521036813614,2.0000521036813614,1,46,[44],250,75,line_distance_8
Class1,P1,Class1_it2_example_0025,0.0,0.0,0.0,0.0,1,43,[43],250,75,line_distance_8
Class1,P1,Class1_it2_example_0026,0.0,0.0,0.0,0.0,1,41,[41],250,75,line_distance_8
Class1,P1,Class1_it2_example_0027,1.0,0.009151131301204818,1.000041870725467,1.000041870725467,1,44,[43],250,75,line_distance_8
Class1,P1,Class1_it2_example_0028,2.0,0.022511082573578478,2.0001266831975006,2.0001266831975006,1,45,[43],250,75,line_distance_8
Class1,P1,Class1_it2_example_0029,,,,,0,58,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0030,,,,,0,28,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0031,,,,,0,27,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0032,,,,,0,34,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0033,1.0,0.0064431588003257545,1.0000207569322381,1.0000207569322381,1,34,[33],250,75,line_distance_8
Class1,P1,Class1_it2_example_0034,1.0,0.013977680667530246,1.0000976830074366,1.0000976830074366,1,31,[30],250,75,line_distance_8
Class1,P1,Class1_it2_example_0035,,,,,0,39,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0036,,,,,0,40,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0037,2.0,0.024887801208594684,2.0001548446680317,2.0001548446680317,1,39,[37],250,75,line_distance_8
Class1,P1,Class1_it2_example_0038,,,,,0,38,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0039,,,,,0,29,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0040,,,,,0,29,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0041,,,,,0,33,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0042,,,,,0,43,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0043,,,,,0,35,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0044,,,,,0,28,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0045,,,,,0,30,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0046,,,,,0,29,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0047,,,,,0,29,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0048,,,,,0,30,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0049,,,,,0,30,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0050,,,,,0,61,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0051,,,,,0,30,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0052,,,,,0,37,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0053,3.0,0.034959357098585664,3.000203685860136,3.000203685860136,1,36,[33],250,75,line_distance_8
Class1,P1,Class1_it2_example_0054,,,,,0,35,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0055,,,,,0,67,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0056,,,,,0,30,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0057,2.0,0.022105861486224954,2.000122163547029,2.000122163547029,1,33,[35],250,75,line_distance_8
Class1,P1,Class1_it2_example_0058,4.0,0.04707504578083388,4.0002769979009285,4.0002769979009285,1,45,[41],250,75,line_distance_8
Class1,P1,Class1_it2_example_0059,,,,,0,33,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0060,1.0,0.016575957467157454,1.000137371747478,1.000137371747478,1,28,[29],250,75,line_distance_8
Class1,P1,Class1_it2_example_0061,,,,,0,41,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0062,,,,,0,31,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0063,,,,,0,46,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0064,1.0,0.013323864129131557,1.000088758738609,1.000088758738609,1,40,[39],250,75,line_distance_8
Class1,P1,Class1_it2_example_0065,,,,,0,42,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0066,,,,,0,42,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0067,,,,,0,43,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0068,,,,,0,22,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0069,,,,,0,24,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0070,,,,,0,33,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0071,,,,,0,24,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0072,,,,,0,25,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0073,,,,,0,25,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0074,,,,,0,31,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0075,,,,,0,38,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0076,,,,,0,27,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0077,,,,,0,32,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0078,,,,,0,31,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0079,,,,,0,36,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0080,,,,,0,37,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0081,,,,,0,28,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0082,,,,,0,37,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0083,,,,,0,26,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0084,,,,,0,33,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0085,,,,,0,24,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0086,,,,,0,32,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0087,,,,,0,29,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0088,,,,,0,31,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0089,,,,,0,29,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0090,,,,,0,33,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0091,,,,,0,32,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0092,,,,,0,31,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0093,,,,,0,31,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0094,,,,,0,35,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0095,,,,,0,35,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0096,,,,,0,35,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0097,,,,,0,33,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0098,1.0,0.009314223972223257,1.0000433764433443,1.0000433764433443,1,37,[36],250,75,line_distance_8
Class1,P1,Class1_it2_example_0099,,,,,0,35,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0100,,,,,0,28,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0101,,,,,0,31,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0102,3.0,0.04246417277646641,3.0003005192762924,3.0003005192762924,1,33,[36],250,75,line_distance_8
Class1,P1,Class1_it2_example_0103,3.0,0.040811251160253637,3.0002775801950836,3.0002775801950836,1,33,[36],250,75,line_distance_8
Class1,P1,Class1_it2_example_0104,2.0,0.02240230392946929,2.0001254618701667,2.0001254618701667,1,35,[37],250,75,line_distance_8
Class1,P1,Class1_it2_example_0105,,,,,0,35,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0106,,,,,0,34,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0107,,,,,0,33,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0108,1.0,0.014249121635895645,1.0001015135811937,1.0001015135811937,1,31,[32],250,75,line_distance_8
Class1,P1,Class1_it2_example_0109,3.0,0.033780652103587605,3.000190182714513,3.000190182714513,1,33,[36],250,75,line_distance_8
Class1,P1,Class1_it2_example_0110,,,,,0,36,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0111,2.0,0.02383865058714918,2.0001420652698187,2.0001420652698187,1,30,[32],250,75,line_distance_8
Class1,P1,Class1_it2_example_0112,3.0,0.0537629760787538,3.000481704259642,3.000481704259642,1,28,[31],250,75,line_distance_8
Class1,P1,Class1_it2_example_0113,,,,,0,34,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0114,4.0,0.066486363185293,4.000552516401904,4.000552516401904,1,26,[30],250,75,line_distance_8
Class1,P1,Class1_it2_example_0115,,,,,0,35,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0116,,,,,0,34,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0117,,,,,0,43,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0118,,,,,0,59,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0119,4.0,0.039119577891160495,4.000191288097906,4.000191288097906,1,30,[34],250,75,line_distance_8
Class1,P1,Class1_it2_example_0120,,,,,0,32,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0121,,,,,0,30,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0122,,,,,0,28,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0123,,,,,0,28,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0124,,,,,0,33,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0125,,,,,0,29,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0126,,,,,0,26,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0127,,,,,0,29,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0128,,,,,0,33,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0129,,,,,0,34,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0130,,,,,0,48,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0131,,,,,0,35,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0132,,,,,0,46,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0133,,,,,0,54,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0134,,,,,0,45,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0135,,,,,0,25,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0136,,,,,0,31,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0137,,,,,0,36,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0138,1.0,0.015967527098414536,1.0001274728361573,1.0001274728361573,1,36,[35],250,75,line_distance_8
Class1,P1,Class1_it2_example_0139,5.0,0.04234016570992938,5.000179265749614,5.000179265749614,1,42,[37],250,75,line_distance_8
Class1,P1,Class1_it2_example_0140,4.0,0.02075252362323665,4.000053833042342,4.000053833042342,1,39,[35],250,75,line_distance_8
Class1,P1,Class1_it2_example_0141,,,,,0,34,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0142,2.0,0.019382259584506456,2.0000939157916062,2.0000939157916062,1,36,[34],250,75,line_distance_8
Class1,P1,Class1_it2_example_0143,,,,,0,30,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0144,,,,,0,35,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0145,,,,,0,29,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0146,,,,,0,44,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0147,,,,,0,32,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0148,,,,,0,29,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0149,,,,,0,35,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0150,,,,,0,25,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0151,,,,,0,24,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0152,,,,,0,23,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0153,,,,,0,23,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0154,,,,,0,23,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0155,,,,,0,23,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0156,,,,,0,23,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0157,,,,,0,35,[],250,75,line_distance_8
Class1,P1,Class1_it2_example_0158,,,,,0,38,[],250,75,line_distance_8
