Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,line_perpendicular_8,60.2824,0.36786758705186173,60.283754196254854,2.5321780491239942,4.428,250.0,250.0
Class1,P2,line_perpendicular_8,46.8228,0.2527577558699669,46.82364785280311,4.9562023606700505,4.428,250.0,250.0
Class1,P3,line_perpendicular_8,43.68586666666667,0.24049752678695563,43.686681125884995,4.1400170173935225,4.428,250.0,250.0
Class2,P1,line_perpendicular_8,59.13731428571429,0.2718779016446385,59.138205787118,3.4603216228865388,4.464,250.0,250.0
Class2,P2,line_perpendicular_8,45.624514285714284,0.28487211744405116,45.62558070517182,3.61202366642096,4.464,250.0,250.0
Class2,P3,line_perpendicular_8,43.445009523809524,0.25039587819711817,43.44600018410495,4.924046948533656,4.464,250.0,250.0
Class3,P1,line_perpendicular_8,61.638866666666665,0.2514246317628068,61.63976333656076,2.8364363956962384,4.556,250.0,250.0
Class3,P2,line_perpendicular_8,45.235800000000005,0.36027655566454264,45.23740390829144,3.940063068070243,4.556,250.0,250.0
Class3,P3,line_perpendicular_8,42.1398,0.2910062313346961,42.14100019912276,5.028078154079263,4.556,250.0,250.0
Class4,P1,line_perpendicular_8,,,,,3.42,50.0,50.0
Class4,P2,line_perpendicular_8,47.864,0.41462515647822457,47.86592286834264,6.800090885443987,3.42,50.0,50.0
Class4,P3,line_perpendicular_8,,,,,3.42,50.0,50.0
