Class,Peak,Method,Range,Dataset,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,wavelet,avg,it1_smooth_3Hz,1.0383333333333333,0.004293693238440033,1.0383464786213241,0.9533447809824783,295.0,8.0,5.0,1.17,1.0
Class1,P2,wavelet,avg,it1_smooth_3Hz,4.738207547169812,0.023842264065059977,4.738289468866372,4.665173712408871,153.0,68.0,147.0,0.81,0.7066666666666667
Class1,P3,wavelet,avg,it1_smooth_3Hz,6.197530864197531,0.03348172583786695,6.197648082053682,5.9967466876594315,159.0,183.0,141.0,1.2233333333333334,0.99
Class2,P1,wavelet,avg,it1_smooth_3Hz,1.89,0.01219898960969047,1.8900453124740542,1.776707850558624,263.0,51.0,37.0,1.23,1.0
Class2,P2,wavelet,avg,it1_smooth_3Hz,2.997991967871486,0.013398276665165612,2.9980318395590606,2.9317652298644523,192.0,70.0,108.0,0.94,0.83
Class2,P3,wavelet,avg,it1_smooth_3Hz,7.405162738496072,0.045827903567711645,7.405325269695752,7.269518796018838,46.0,316.0,254.0,1.2266666666666666,0.99
Class3,P1,wavelet,avg,it1_smooth_3Hz,1.369718309859155,0.010150098002240657,1.3697645181619678,1.2324347947081165,277.0,14.0,23.0,1.1533333333333333,0.9466666666666667
Class3,P2,wavelet,avg,it1_smooth_3Hz,2.2618203309692673,0.007249375701999045,2.261836483916528,2.1383127904808625,240.0,55.0,60.0,1.0833333333333333,0.94
Class3,P3,wavelet,avg,it1_smooth_3Hz,8.275800711743772,0.06469453086303961,8.276077481554958,8.203120282667758,38.0,283.0,262.0,1.0733333333333333,0.9366666666666666
Class4,P1,wavelet,avg,it1_smooth_3Hz,,,,,0.0,0.0,69.0,0.44,0.31
Class4,P2,wavelet,avg,it1_smooth_3Hz,63.67391304347826,0.5391305428660056,63.67628049195387,62.52407111649336,0.0,25.0,100.0,0.25,0.23
Class4,P3,wavelet,avg,it1_smooth_3Hz,,,,,0.0,0.0,78.0,0.3,0.22
