Class,Peak,Method,Range,Dataset,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,line_distance_3,avg,it1_smooth_4Hz,1.89,0.012380485710432189,1.890046173011602,1.890046173011602,278.0,22.0,22.0,1.0,1.0
Class1,P2,line_distance_3,avg,it1_smooth_4Hz,2.9933110367892977,0.014116498134254645,2.993359852775336,2.993359852775336,262.0,37.0,38.0,0.9966666666666667,0.9966666666666667
Class1,P3,line_distance_3,avg,it1_smooth_4Hz,5.56,0.03136538961930318,5.560116754351488,5.560116754351488,193.0,107.0,107.0,1.0,1.0
Class2,P1,line_distance_3,avg,it1_smooth_4Hz,3.1,0.028684084125239404,3.1001415040453346,3.1001415040453346,197.0,103.0,103.0,1.0,1.0
Class2,P2,line_distance_3,avg,it1_smooth_4Hz,2.1733333333333333,0.009975107405311262,2.1733711388307144,2.1733711388307144,258.0,42.0,42.0,1.0,1.0
Class2,P3,line_distance_3,avg,it1_smooth_4Hz,5.946666666666666,0.033745875321284584,5.946782604985844,5.946782604985844,107.0,193.0,193.0,1.0,1.0
Class3,P1,line_distance_3,avg,it1_smooth_4Hz,2.23,0.023120385240306848,2.2301330959686,2.2301330959686,264.0,36.0,36.0,1.0,1.0
Class3,P2,line_distance_3,avg,it1_smooth_4Hz,3.190635451505017,0.014473527488610123,3.190678348002985,3.190678348002985,199.0,100.0,101.0,0.9966666666666667,0.9966666666666667
Class3,P3,line_distance_3,avg,it1_smooth_4Hz,7.483221476510067,0.05797275503244348,7.483473864928362,7.483473864928362,102.0,196.0,198.0,0.9933333333333333,0.9933333333333333
Class4,P1,line_distance_3,avg,it1_smooth_4Hz,,,,,0.0,0.0,69.0,0.31,0.31
Class4,P2,line_distance_3,avg,it1_smooth_4Hz,55.06060606060606,0.4898281265051626,55.062870442888745,55.062870442888745,0.0,33.0,100.0,0.33,0.33
Class4,P3,line_distance_3,avg,it1_smooth_4Hz,,,,,0.0,0.0,74.0,0.26,0.26
