Class,Peak,Method,Range,Dataset,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,concave_d2x=0-002,avg,it2,0.05,0.00012524281011586948,0.05000030007951369,0.028000028453327063,250.0,2.0,0.0,1.016,1.0
Class1,P2,concave_d2x=0-002,avg,it2,3.757615894039735,0.009647929249898551,3.757636963284513,3.4900874689294747,129.0,40.0,121.0,0.68,0.604
Class1,P3,concave_d2x=0-002,avg,it2,2.553996983408748,0.009257288308692954,2.5540243026037444,1.7013821798215776,212.0,75.0,38.0,1.192,0.884
Class2,P1,concave_d2x=0-002,avg,it2,0.9027181688125895,0.0018641656148320393,0.9027214296387563,0.5879856639866144,229.0,22.0,21.0,1.024,0.932
Class2,P2,concave_d2x=0-002,avg,it2,1.5359135285913528,0.004390197834722824,1.5359226240941477,1.0418474971872147,229.0,47.0,21.0,1.124,0.956
Class2,P3,concave_d2x=0-002,avg,it2,3.348443223443223,0.018898979213885746,3.3485158545990097,2.5934741165036397,166.0,61.0,84.0,0.944,0.728
Class3,P1,concave_d2x=0-002,avg,it2,4.561855670103093,0.04608078581142117,4.562141486134485,4.412657784431387,79.0,25.0,171.0,0.42,0.388
Class3,P2,concave_d2x=0-002,avg,it2,1.0387275242047027,0.0018832873476413688,1.038730749843995,0.8298785796916318,232.0,24.0,18.0,1.036,0.964
Class3,P3,concave_d2x=0-002,avg,it2,1.3742138364779874,0.0038837356353018625,1.3742246590421279,1.14466477883142,156.0,18.0,94.0,0.7,0.636
Class4,P1,concave_d2x=0-002,avg,it2,,,,,0.0,0.0,34.0,0.42,0.32
Class4,P2,concave_d2x=0-002,avg,it2,59.0,0.47797592779017184,59.00193607829786,59.00193607829786,0.0,1.0,50.0,0.02,0.02
Class4,P3,concave_d2x=0-002,avg,it2,,,,,0.0,0.0,46.0,0.1,0.08
