Class,Peak,Method,Range,Dataset,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,hilbert,avg,it2,4.636,0.06679059430188478,4.636549848835164,4.620546860275571,47.0,205.0,203.0,1.008,1.0
Class1,P2,hilbert,avg,it2,4.044086021505376,0.011786017029487077,4.044117779858258,3.671000267131324,132.0,45.0,118.0,0.724,0.62
Class1,P3,hilbert,avg,it2,3.8094713656387666,0.014838637031502871,3.8095123741947714,2.7665558613588206,202.0,112.0,48.0,1.276,0.908
Class2,P1,hilbert,avg,it2,5.308,0.07421119138181131,5.3086141051347315,5.008611982250062,35.0,238.0,215.0,1.092,1.0
Class2,P2,hilbert,avg,it2,2.520127118644068,0.008323408477004496,2.520151821315427,1.8432412663119913,221.0,62.0,29.0,1.16,0.944
Class2,P3,hilbert,avg,it2,3.5187604690117253,0.01884001755170124,3.518827822900715,2.5980463812608443,178.0,91.0,72.0,1.088,0.796
Class3,P1,hilbert,avg,it2,4.355610561056106,0.05931427882673396,4.356047083693999,3.7083125079753194,108.0,132.0,142.0,0.968,0.808
Class3,P2,hilbert,avg,it2,2.487704918032787,0.006285531210245251,2.4877180804493895,2.1024688080885445,228.0,46.0,22.0,1.1,0.976
Class3,P3,hilbert,avg,it2,1.7425828970331587,0.006609594932839763,1.7426006123859734,1.4240995615922882,181.0,33.0,69.0,0.872,0.764
Class4,P1,hilbert,avg,it2,,,,,0.0,0.0,34.0,0.42,0.32
Class4,P2,hilbert,avg,it2,74.0,0.36104670802291605,74.00088076992985,74.00088076992985,0.0,1.0,50.0,0.02,0.02
Class4,P3,hilbert,avg,it2,,,,,0.0,0.0,50.0,0.0,0.0
