Class,Peak,Method,Range,Dataset,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,modified_scholkmann0-5,avg,it2_smooth_4Hz,1.6226415094339623,0.009769602450354426,1.622683872780854,1.622683872780854,202.0,10.0,48.0,0.848,0.848
Class1,P2,modified_scholkmann0-5,avg,it2_smooth_4Hz,10.625,0.03338428159382132,10.625095566993139,10.625095566993139,33.0,15.0,217.0,0.192,0.192
Class1,P3,modified_scholkmann0-5,avg,it2_smooth_4Hz,2.086021505376344,0.005506069351613868,2.0860326187455915,2.0860326187455915,159.0,27.0,91.0,0.744,0.744
Class2,P1,modified_scholkmann0-5,avg,it2_smooth_4Hz,3.3958333333333335,0.013840610370431362,3.395878909310619,3.395878909310619,37.0,11.0,213.0,0.192,0.192
Class2,P2,modified_scholkmann0-5,avg,it2_smooth_4Hz,2.562130177514793,0.006812330590408973,2.562142527980881,2.562142527980881,150.0,19.0,100.0,0.676,0.676
Class2,P3,modified_scholkmann0-5,avg,it2_smooth_4Hz,2.0202020202020203,0.005854431659531876,2.0202146208539524,2.0202146208539524,83.0,16.0,167.0,0.396,0.396
Class3,P1,modified_scholkmann0-5,avg,it2_smooth_4Hz,27.125,0.3364148806272451,27.12713534102181,27.12713534102181,0.0,8.0,250.0,0.032,0.032
Class3,P2,modified_scholkmann0-5,avg,it2_smooth_4Hz,2.152173913043478,0.00333787517583962,2.1521779343288783,2.1521779343288783,172.0,12.0,78.0,0.736,0.736
Class3,P3,modified_scholkmann0-5,avg,it2_smooth_4Hz,1.7407407407407407,0.003357529726751395,1.7407453950098717,1.7407453950098717,49.0,5.0,201.0,0.216,0.216
Class4,P1,modified_scholkmann0-5,avg,it2_smooth_4Hz,,,,,0.0,0.0,36.0,0.28,0.28
Class4,P2,modified_scholkmann0-5,avg,it2_smooth_4Hz,,,,,0.0,0.0,50.0,0.0,0.0
Class4,P3,modified_scholkmann0-5,avg,it2_smooth_4Hz,,,,,0.0,0.0,50.0,0.0,0.0
