Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,59.75,0.37751788731837477,59.75127197700829,4.000516919136429,4,39,"[35, 74, 114, 164]",250,250,curvature
Class1,P1,Class1_it2_example_0002,56.5,0.3195808776916029,56.50097043226671,5.000445415767863,4,40,"[35, 71, 110, 160]",250,250,curvature
Class1,P1,Class1_it2_example_0003,56.75,0.32606081649555924,56.75102523921046,6.000603275812834,4,40,"[34, 71, 110, 160]",250,250,curvature
Class1,P1,Class1_it2_example_0004,56.75,0.3404900276104635,56.75107916139487,6.000409314218491,4,42,"[36, 73, 112, 162]",250,250,curvature
Class1,P1,Class1_it2_example_0005,56.75,0.368907581111082,56.75126071115693,6.000573091467116,4,39,"[33, 68, 108, 162]",250,250,curvature
Class1,P1,Class1_it2_example_0006,55.75,0.349357866448247,55.75117948485418,6.000619942535703,4,41,"[35, 70, 106, 164]",250,250,curvature
Class1,P1,Class1_it2_example_0007,33.666666666666664,0.2115897009841684,33.66739245000945,6.000492088543642,3,42,"[36, 70, 109]",250,250,curvature
Class1,P1,Class1_it2_example_0008,59.5,0.32491874626097006,59.501026164297436,4.000555382697434,4,38,"[34, 72, 108, 168]",250,250,curvature
Class1,P1,Class1_it2_example_0009,60.5,0.33633424856279415,60.50107229465225,5.000621501112072,4,38,"[33, 73, 110, 168]",250,250,curvature
Class1,P1,Class1_it2_example_0010,58.75,0.3395645423635846,58.75108436086934,5.0005256571113454,4,41,"[36, 75, 114, 164]",250,250,curvature
Class1,P1,Class1_it2_example_0011,34.666666666666664,0.15533087990249092,34.667158020619716,4.0007096403117295,3,35,"[31, 67, 103]",250,250,curvature
Class1,P1,Class1_it2_example_0012,56.5,0.32377843701384995,56.50101005622987,6.000663781079818,4,36,"[30, 66, 107, 155]",250,250,curvature
Class1,P1,Class1_it2_example_0013,59.0,0.3894829435598914,59.00133467718717,5.000412010615045,3,36,"[31, 85, 159]",250,250,curvature
Class1,P1,Class1_it2_example_0014,53.333333333333336,0.26968607131589206,53.33409475294693,5.000475350807783,3,41,"[36, 91, 146]",250,250,curvature
Class1,P1,Class1_it2_example_0015,75.0,0.3241316459714564,75.00078507938794,1.0002307020722414,4,23,"[24, 70, 130, 168]",250,250,curvature
Class1,P1,Class1_it2_example_0016,79.25,0.42627751759939625,79.25128202451015,3.0003479887275106,4,29,"[26, 80, 155, 166]",250,250,curvature
Class1,P1,Class1_it2_example_0017,64.0,0.39199977699895105,64.00120212981102,0.0,4,27,"[27, 88, 118, 131]",250,250,curvature
Class1,P1,Class1_it2_example_0018,73.0,0.4038683572986914,73.001117328895,0.0,4,28,"[28, 87, 118, 171]",250,250,curvature
Class1,P1,Class1_it2_example_0019,50.333333333333336,0.1605824078225629,50.333738829587446,1.0001662148922985,3,28,"[27, 84, 122]",250,250,curvature
Class1,P1,Class1_it2_example_0020,68.2,0.4378016384543016,68.2014245756996,3.000279308544198,5,37,"[34, 70, 106, 142, 168]",250,250,curvature
Class1,P1,Class1_it2_example_0021,61.75,0.45006114109666506,61.75167025541157,1.0000983710050404,4,37,"[36, 89, 127, 141]",250,250,curvature
Class1,P1,Class1_it2_example_0022,44.333333333333336,0.2628677709562783,44.33422469232513,1.0000338826249586,3,41,"[40, 85, 129]",250,250,curvature
Class1,P1,Class1_it2_example_0023,61.75,0.33802682671451734,61.75098538081183,10.000448803344447,4,45,"[35, 82, 125, 165]",250,250,curvature
Class1,P1,Class1_it2_example_0024,46.666666666666664,0.331296068622749,46.668046514453145,3.0001274184222373,3,46,"[43, 90, 139]",250,250,curvature
Class1,P1,Class1_it2_example_0025,47.333333333333336,0.4174538245073758,47.335667674185146,2.0001093382578383,3,43,"[41, 89, 137]",250,250,curvature
Class1,P1,Class1_it2_example_0026,47.333333333333336,0.28003975497402595,47.33452333517712,2.000196204039047,3,41,"[39, 89, 133]",250,250,curvature
Class1,P1,Class1_it2_example_0027,46.333333333333336,0.2589942626464799,46.334246343208264,3.00025994347229,3,44,"[41, 90, 134]",250,250,curvature
