Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,67.66666666666667,0.5419126980581984,67.66991075175238,3.0003058050399725,6,39,"[1, 36, 74, 116, 165, 166]",250,250,wavelet
Class1,P1,Class1_it2_example_0002,56.75,0.31745726567320875,56.75093507069407,4.000271627493976,4,40,"[36, 72, 111, 160]",250,250,wavelet
Class1,P1,Class1_it2_example_0003,57.0,0.32357656023506864,57.00098183245609,5.00039678620738,4,40,"[35, 72, 111, 160]",250,250,wavelet
Class1,P1,Class1_it2_example_0004,59.8,0.339730593833092,59.80102081109963,6.000409314218491,5,42,"[36, 74, 112, 113, 162]",250,250,wavelet
Class1,P1,Class1_it2_example_0005,70.0,0.44557349768351767,70.00145954740594,5.0003721909307,6,39,"[34, 68, 108, 109, 162, 163]",250,250,wavelet
Class1,P1,Class1_it2_example_0006,69.0,0.4229367177141605,69.00135985983911,5.00040286199438,6,41,"[36, 70, 107, 108, 164, 165]",250,250,wavelet
Class1,P1,Class1_it2_example_0007,56.25,0.37778738241285637,56.25130546924944,5.00031460015592,4,42,"[37, 70, 110, 166]",250,250,wavelet
Class1,P1,Class1_it2_example_0008,56.0,0.4557509064831476,56.003328133047106,3.000328032453381,5,38,"[1, 35, 73, 109, 172]",250,250,wavelet
Class1,P1,Class1_it2_example_0009,61.5,0.3371584966944353,61.501029194558726,4.000387460045984,4,38,"[34, 73, 111, 172]",250,250,wavelet
Class1,P1,Class1_it2_example_0010,58.75,0.3357223681306684,58.75103931840789,4.000329720852267,4,41,"[37, 75, 115, 164]",250,250,wavelet
Class1,P1,Class1_it2_example_0011,70.6,0.43529035123042836,70.60144228006102,3.0004289867234744,5,35,"[32, 68, 104, 143, 175]",250,250,wavelet
